feature,padj,fold,model
TSPAN6,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
CYP51A1,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
ANKIB1,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
CFTR,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
SEMA3F,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
ENPP4,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
LAS1L,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
NIPAL3,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
STPG1,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
NFYA,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
GCLC,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
FUCA2,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
CFH,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
FGR,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
C1orf112,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
SCYL3,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
DPM1,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
TNMD,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
KRIT1,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
RAD52,0.9998951898820592,1,RF_max_depth=2_min_samples_leaf=5
CABP2,0.004953978164657469,2,RF_max_depth=2_min_samples_leaf=5
REXO1L3P,0.005502022433787022,2,RF_max_depth=2_min_samples_leaf=5
EFHC2,0.018117009506931382,2,RF_max_depth=2_min_samples_leaf=5
DCDC2C,0.018117009506931382,2,RF_max_depth=2_min_samples_leaf=5
AC006538.1,0.028233978739854403,2,RF_max_depth=2_min_samples_leaf=5
REC114,0.04441359359673939,2,RF_max_depth=2_min_samples_leaf=5
RNY4,0.04441359359673939,2,RF_max_depth=2_min_samples_leaf=5
RN7SL665P,0.04441359359673939,2,RF_max_depth=2_min_samples_leaf=5
SPART-AS1,0.058204451131717135,2,RF_max_depth=2_min_samples_leaf=5
CSF2,0.058204451131717135,2,RF_max_depth=2_min_samples_leaf=5
INAFM2,0.058204451131717135,2,RF_max_depth=2_min_samples_leaf=5
CU633904.1,0.0651210464977755,2,RF_max_depth=2_min_samples_leaf=5
RN7SL499P,0.06950100501599517,2,RF_max_depth=2_min_samples_leaf=5
AC112504.1,0.08037723722522737,2,RF_max_depth=2_min_samples_leaf=5
AC025198.1,0.09902553412890835,2,RF_max_depth=2_min_samples_leaf=5
CBR3-AS1,0.10791175878208961,2,RF_max_depth=2_min_samples_leaf=5
CLDN34,0.11629212255035036,2,RF_max_depth=2_min_samples_leaf=5
AC073548.1,0.11629212255035036,2,RF_max_depth=2_min_samples_leaf=5
DEFB115,0.11855022804480668,2,RF_max_depth=2_min_samples_leaf=5
GFRA3,0.12221609593539541,2,RF_max_depth=2_min_samples_leaf=5
FAXC,0.00539658557097864,3,RF_max_depth=2_min_samples_leaf=5
NBPF22P,0.00539658557097864,3,RF_max_depth=2_min_samples_leaf=5
FAM180B,0.006977115943327905,3,RF_max_depth=2_min_samples_leaf=5
ZNF114,0.008628444165318558,3,RF_max_depth=2_min_samples_leaf=5
STOML3,0.009588025657421891,3,RF_max_depth=2_min_samples_leaf=5
NTRK3,0.009588025657421891,3,RF_max_depth=2_min_samples_leaf=5
IRX5,0.009588025657421891,3,RF_max_depth=2_min_samples_leaf=5
AC116351.1,0.009588025657421891,3,RF_max_depth=2_min_samples_leaf=5
DMRTC1B,0.009588025657421891,3,RF_max_depth=2_min_samples_leaf=5
AL138889.1,0.013242753283149567,3,RF_max_depth=2_min_samples_leaf=5
COL9A2,0.013242753283149567,3,RF_max_depth=2_min_samples_leaf=5
PRKCG,0.013242753283149567,3,RF_max_depth=2_min_samples_leaf=5
DMRTC1,0.013242753283149567,3,RF_max_depth=2_min_samples_leaf=5
AL353726.2,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
FAM74A6,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
TOGARAM2,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
TTC39A,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
JPH3,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
OR6J1,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
