feature,padj,fold,model
CU634019.1,0.017116461909329275,1,LR_C=0.001
CU633906.1,0.017116461909329275,1,LR_C=0.001
OR9K1P,0.017116461909329275,1,LR_C=0.001
DEFB4A,0.017116461909329275,1,LR_C=0.001
AC244033.2,0.02533786344275005,1,LR_C=0.001
DLX6-AS1,0.02533786344275005,1,LR_C=0.001
FGF8,0.03221719137924229,1,LR_C=0.001
TAS1R2,0.03221719137924229,1,LR_C=0.001
CU633904.1,0.046833270499802876,1,LR_C=0.001
MATN4,0.046833270499802876,1,LR_C=0.001
AC135731.1,0.04754666858029883,1,LR_C=0.001
CATSPER4,0.04754666858029883,1,LR_C=0.001
RHBDL1,0.04754666858029883,1,LR_C=0.001
TNNC1,0.04754666858029883,1,LR_C=0.001
IGDCC3,0.0541169216472338,1,LR_C=0.001
SYNGR4,0.0541169216472338,1,LR_C=0.001
C2orf27AP3,0.0541169216472338,1,LR_C=0.001
KRTDAP,0.05546310892308789,1,LR_C=0.001
NTNG1,0.0574366871485287,1,LR_C=0.001
PCDHA12,0.0574366871485287,1,LR_C=0.001
ZMYND12,0.061859068647610656,1,LR_C=0.001
AC073548.1,0.061859068647610656,1,LR_C=0.001
HOXC9,0.061859068647610656,1,LR_C=0.001
DEFB106B,0.061859068647610656,1,LR_C=0.001
DEFB106A,0.061859068647610656,1,LR_C=0.001
C2orf92,0.061859068647610656,1,LR_C=0.001
SPANXD,0.0644254157868653,1,LR_C=0.001
AHSP,0.06539536595760614,1,LR_C=0.001
AL138820.1,0.06539536595760614,1,LR_C=0.001
C17orf78,0.06539536595760614,1,LR_C=0.001
KDM4E,0.06539536595760614,1,LR_C=0.001
AC020908.3,0.06539536595760614,1,LR_C=0.001
AC004899.1,0.06539536595760614,1,LR_C=0.001
DEFB4B,0.06539536595760614,1,LR_C=0.001
CHRM5,0.06539536595760614,1,LR_C=0.001
VSTM1,0.06539536595760614,1,LR_C=0.001
AC127070.4,0.06915097907129315,1,LR_C=0.001
AC104791.2,0.07081494961230488,1,LR_C=0.001
OR10A3,0.07494553051293316,1,LR_C=0.001
OR56A1,0.07556550577239639,1,LR_C=0.001
HK2P1,0.07780899491762752,1,LR_C=0.001
NYX,0.08102137377894705,1,LR_C=0.001
GHSR,0.0852709310144169,1,LR_C=0.001
PRSS55,0.0917772359729429,1,LR_C=0.001
LRRC53,0.09298822542748207,1,LR_C=0.001
KLHL41,0.09541568841696822,1,LR_C=0.001
REXO1L3P,0.09541568841696822,1,LR_C=0.001
FAM47A,0.09541568841696822,1,LR_C=0.001
CABP2,0.09541568841696822,1,LR_C=0.001
AC130366.1,0.09541568841696822,1,LR_C=0.001
LACC1,0.09589285863915088,1,LR_C=0.001
RNASE8,0.09666410140994405,1,LR_C=0.001
AC120114.4,0.09666410140994405,1,LR_C=0.001
RNASE10,0.09666410140994405,1,LR_C=0.001
IGKV1D-43,0.09862004229024907,1,LR_C=0.001
GJA10,0.09862004229024907,1,LR_C=0.001
GPR149,0.09862004229024907,1,LR_C=0.001
AL590652.1,0.09862004229024907,1,LR_C=0.001
C22orf42,0.09862004229024907,1,LR_C=0.001
SYT5,0.00012500404314902562,2,LR_C=0.001
TGFBR3L,0.006534296028399055,2,LR_C=0.001
FAM74A6,0.006534296028399055,2,LR_C=0.001
FAM74A4,0.006534296028399055,2,LR_C=0.001
POU4F1,0.008347776167577772,2,LR_C=0.001
IGKV1OR2-2,0.014018694422710434,2,LR_C=0.001
IGKV1OR2-1,0.017985222653983404,2,LR_C=0.001
CPA1,0.01830383114710189,2,LR_C=0.001
RIMKLA,0.01830383114710189,2,LR_C=0.001
PRMT8,0.01830383114710189,2,LR_C=0.001
OTX1,0.02228090670485917,2,LR_C=0.001
FRMD1,0.026536680966621415,2,LR_C=0.001
MYLK2,0.027048253287468595,2,LR_C=0.001
HAPLN1,0.027048253287468595,2,LR_C=0.001
KCNN1,0.028620736926868683,2,LR_C=0.001
FAM182A,0.028620736926868683,2,LR_C=0.001
MYO5BP1,0.029496112104140604,2,LR_C=0.001
LAYN,0.03139599425631883,2,LR_C=0.001
CDH16,0.03727842860541796,2,LR_C=0.001
SNCA,0.03727842860541796,2,LR_C=0.001
NBEAP3,0.03727842860541796,2,LR_C=0.001
CTRB1,0.04195519276123727,2,LR_C=0.001
ACP7,0.042986770121381974,2,LR_C=0.001
GOLGA6L11P,0.04436472647058999,2,LR_C=0.001
PI16,0.0460314487352496,2,LR_C=0.001
USH1G,0.04640537721685086,2,LR_C=0.001
SVOPL,0.04739900546773368,2,LR_C=0.001
SCRT1,0.04882695425374104,2,LR_C=0.001
AIPL1,0.04882695425374104,2,LR_C=0.001
VAX1,0.04882695425374104,2,LR_C=0.001
CYP4B1,0.04882695425374104,2,LR_C=0.001
OR3A3,0.04882695425374104,2,LR_C=0.001
GFI1B,0.04882695425374104,2,LR_C=0.001
LGI3,0.0602821054908766,2,LR_C=0.001
C8orf86,0.0602821054908766,2,LR_C=0.001
KCNJ1,0.0602821054908766,2,LR_C=0.001
SCN2B,0.0602821054908766,2,LR_C=0.001
RHCG,0.06112460206422875,2,LR_C=0.001
AL732372.1,0.06233842338023004,2,LR_C=0.001
FAM74A1,0.0660844695594962,2,LR_C=0.001
KCNJ10,0.0660844695594962,2,LR_C=0.001
OLIG2,0.0660844695594962,2,LR_C=0.001
AC144568.2,0.06782283036072989,2,LR_C=0.001
NKX2-5,0.06805337491176618,2,LR_C=0.001
CHIA,0.06838547715635276,2,LR_C=0.001
NETO1,0.06838547715635276,2,LR_C=0.001
ISM2,0.06838547715635276,2,LR_C=0.001
PADI4,0.06838547715635276,2,LR_C=0.001
KCNG4,0.06838547715635276,2,LR_C=0.001
C2orf27AP3,0.06838547715635276,2,LR_C=0.001
CALCA,0.06838547715635276,2,LR_C=0.001
KRT72,0.06838547715635276,2,LR_C=0.001
AZIN2,0.07176793970490257,2,LR_C=0.001
AL133481.2,0.07255088707778586,2,LR_C=0.001
PCDHA5,0.07661730055176799,2,LR_C=0.001
DEFB4A,0.07661730055176799,2,LR_C=0.001
