feature,pvalue,fold,model
AC019205.1,0.0024007157633310983,1,RF_max_depth=2_min_samples_leaf=5
EEF1A1P17,0.003125673360492915,1,RF_max_depth=2_min_samples_leaf=5
LINC01545,0.005653241263530974,1,RF_max_depth=2_min_samples_leaf=5
ANKRD44-IT1,0.0075431386650097465,1,RF_max_depth=2_min_samples_leaf=5
IGHV3-11,0.008109527456409457,1,RF_max_depth=2_min_samples_leaf=5
LCMT1-AS2,0.008577467341293294,1,RF_max_depth=2_min_samples_leaf=5
TTC28-AS1,0.009108002808190074,1,RF_max_depth=2_min_samples_leaf=5
IGLC5,0.009482267261043412,1,RF_max_depth=2_min_samples_leaf=5
IGKV3-11,0.009824215411721612,1,RF_max_depth=2_min_samples_leaf=5
LINC01419,0.010147549019301236,1,RF_max_depth=2_min_samples_leaf=5
IGKV3-7,0.010438182613592566,1,RF_max_depth=2_min_samples_leaf=5
FAM240B,0.01172242408064868,1,RF_max_depth=2_min_samples_leaf=5
AC024581.2,0.012241506174618073,1,RF_max_depth=2_min_samples_leaf=5
ANKHD1-EIF4EBP3,0.012468584462429115,1,RF_max_depth=2_min_samples_leaf=5
AC011468.4,0.012519918969010531,1,RF_max_depth=2_min_samples_leaf=5
AC027097.1,0.0125367047799792,1,RF_max_depth=2_min_samples_leaf=5
IGKV1-17,0.013403114762024698,1,RF_max_depth=2_min_samples_leaf=5
BACH1-IT1,0.013639221771367012,1,RF_max_depth=2_min_samples_leaf=5
RPL22P7,0.013712533380665005,1,RF_max_depth=2_min_samples_leaf=5
AC068987.3,0.014349425963747858,1,RF_max_depth=2_min_samples_leaf=5
N4BP2L2-IT2,0.014459169714950041,1,RF_max_depth=2_min_samples_leaf=5
NPM1P9,0.0145554614953388,1,RF_max_depth=2_min_samples_leaf=5
AL590609.2,0.014661278266297966,1,RF_max_depth=2_min_samples_leaf=5
AC011468.1,0.014957319247719819,1,RF_max_depth=2_min_samples_leaf=5
RF00405,0.015245233259743697,1,RF_max_depth=2_min_samples_leaf=5
BMS1P17,0.015290226992043092,1,RF_max_depth=2_min_samples_leaf=5
P3H2-AS1,0.015377867364117864,1,RF_max_depth=2_min_samples_leaf=5
CCND2,0.015628402798433604,1,RF_max_depth=2_min_samples_leaf=5
RNA5SP22,0.015862263950954095,1,RF_max_depth=2_min_samples_leaf=5
PRNCR1,0.01601432987115537,1,RF_max_depth=2_min_samples_leaf=5
IGKV3D-11,0.016194098464209935,1,RF_max_depth=2_min_samples_leaf=5
AC007495.1,0.016217137772350985,1,RF_max_depth=2_min_samples_leaf=5
RN7SL191P,0.01626112297623689,1,RF_max_depth=2_min_samples_leaf=5
NARF-AS1,0.016560677582000412,1,RF_max_depth=2_min_samples_leaf=5
IGKV1-16,0.01663133643172037,1,RF_max_depth=2_min_samples_leaf=5
RPL10P13,0.016873777359424077,1,RF_max_depth=2_min_samples_leaf=5
AC074141.1,0.016873895471247895,1,RF_max_depth=2_min_samples_leaf=5
AC025048.4,0.017068691051778266,1,RF_max_depth=2_min_samples_leaf=5
AC078962.1,0.017144810627613145,1,RF_max_depth=2_min_samples_leaf=5
AL590617.2,0.017256591179475006,1,RF_max_depth=2_min_samples_leaf=5
IGHJ4,0.017346217654090963,1,RF_max_depth=2_min_samples_leaf=5
IGKV1D-33,0.017662953136343317,1,RF_max_depth=2_min_samples_leaf=5
ITGA9-AS1,0.017795835866668597,1,RF_max_depth=2_min_samples_leaf=5
AC007384.1,0.017934373218514318,1,RF_max_depth=2_min_samples_leaf=5
IGHV7-4-1,0.017980440347323375,1,RF_max_depth=2_min_samples_leaf=5
BMS1P2,0.018091025977073606,1,RF_max_depth=2_min_samples_leaf=5
IGKV1-33,0.018240943544638902,1,RF_max_depth=2_min_samples_leaf=5
MKLN1-AS,0.01825094623500196,1,RF_max_depth=2_min_samples_leaf=5
LINC01320,0.018572930875108393,1,RF_max_depth=2_min_samples_leaf=5
IGLV2-28,0.018824053921163132,1,RF_max_depth=2_min_samples_leaf=5
TGIF2,0.019596805622958388,1,RF_max_depth=2_min_samples_leaf=5
AC107068.1,0.019919880105870896,1,RF_max_depth=2_min_samples_leaf=5
AL449283.1,0.020101427369182998,1,RF_max_depth=2_min_samples_leaf=5
AC127024.2,0.020410386872887744,1,RF_max_depth=2_min_samples_leaf=5
DEFB108E,0.020534835056340836,1,RF_max_depth=2_min_samples_leaf=5
AL589743.5,0.02095357850799837,1,RF_max_depth=2_min_samples_leaf=5
GAPDHP68,0.02101113397495345,1,RF_max_depth=2_min_samples_leaf=5
IGLV2-5,0.02107365086041101,1,RF_max_depth=2_min_samples_leaf=5
SLC44A3-AS1,0.021208275563769943,1,RF_max_depth=2_min_samples_leaf=5
AC008739.5,0.021413604266592747,1,RF_max_depth=2_min_samples_leaf=5
AC100788.1,0.021565970027585743,1,RF_max_depth=2_min_samples_leaf=5
AC019080.4,0.0216614447996323,1,RF_max_depth=2_min_samples_leaf=5
AC087280.2,0.021940084335308186,1,RF_max_depth=2_min_samples_leaf=5
LINC01476,0.022273378365144997,1,RF_max_depth=2_min_samples_leaf=5
ZNF284,0.022633431343398375,1,RF_max_depth=2_min_samples_leaf=5
ZMIZ1-AS1,0.02318031915056059,1,RF_max_depth=2_min_samples_leaf=5
H2AFZP1,0.02318286015466206,1,RF_max_depth=2_min_samples_leaf=5
LINC01503,0.023588502465817302,1,RF_max_depth=2_min_samples_leaf=5
ATP1B1P1,0.023644682907795325,1,RF_max_depth=2_min_samples_leaf=5
BX510359.5,0.023668199197230365,1,RF_max_depth=2_min_samples_leaf=5
AC114491.1,0.023865851829158298,1,RF_max_depth=2_min_samples_leaf=5
FAM215B,0.023907367990066278,1,RF_max_depth=2_min_samples_leaf=5
SVBP,0.02401318682681166,1,RF_max_depth=2_min_samples_leaf=5
RNA5SP86,0.024146010435404416,1,RF_max_depth=2_min_samples_leaf=5
AC067945.2,0.02435552664361726,1,RF_max_depth=2_min_samples_leaf=5
IGLV6-57,0.024385372242117866,1,RF_max_depth=2_min_samples_leaf=5
OR7E156P,0.024535278055896715,1,RF_max_depth=2_min_samples_leaf=5
AC068446.2,0.024754657139433384,1,RF_max_depth=2_min_samples_leaf=5
IGHV3-48,0.024798036287353692,1,RF_max_depth=2_min_samples_leaf=5
RBM48P1,0.02489936164136988,1,RF_max_depth=2_min_samples_leaf=5
DPP9-AS1,0.00028571875181092175,2,RF_max_depth=2_min_samples_leaf=5
AC112907.2,0.0014843608410372614,2,RF_max_depth=2_min_samples_leaf=5
