feature,pvalue,fold,model
IGKV3-7,0.0007910669690770377,1,RF_max_depth=2_min_samples_leaf=5
AC074141.1,0.001111515132052327,1,RF_max_depth=2_min_samples_leaf=5
CGAS,0.0013794698403512544,1,RF_max_depth=2_min_samples_leaf=5
LACC1,0.001463260247494512,1,RF_max_depth=2_min_samples_leaf=5
IGHV3-48,0.0015155203237870996,1,RF_max_depth=2_min_samples_leaf=5
IGLV6-57,0.0016598026561755015,1,RF_max_depth=2_min_samples_leaf=5
RNA5SP86,0.0018372254226544618,1,RF_max_depth=2_min_samples_leaf=5
PRR11,0.0018823331525291615,1,RF_max_depth=2_min_samples_leaf=5
IGLV8-61,0.001885270258294649,1,RF_max_depth=2_min_samples_leaf=5
AL590609.2,0.0019388425913717004,1,RF_max_depth=2_min_samples_leaf=5
AC025048.4,0.0019943958418097763,1,RF_max_depth=2_min_samples_leaf=5
CLDN11,0.0024874848903345646,1,RF_max_depth=2_min_samples_leaf=5
CGGBP1,0.0025387364310277753,1,RF_max_depth=2_min_samples_leaf=5
AC090615.1,0.0029130789363434125,1,RF_max_depth=2_min_samples_leaf=5
RPL22P7,0.0029547641560357407,1,RF_max_depth=2_min_samples_leaf=5
ZNF667-AS1,0.003145537896943286,1,RF_max_depth=2_min_samples_leaf=5
CLIC2,0.0031607280791642956,1,RF_max_depth=2_min_samples_leaf=5
AC022905.1,0.003812424613970314,1,RF_max_depth=2_min_samples_leaf=5
IGKV2OR22-4,0.004053550680199976,1,RF_max_depth=2_min_samples_leaf=5
NPM1P9,0.0041548193502280355,1,RF_max_depth=2_min_samples_leaf=5
TMEM100,0.004175748339402192,1,RF_max_depth=2_min_samples_leaf=5
IGHV4OR15-8,0.004414197636313194,1,RF_max_depth=2_min_samples_leaf=5
ELOC,0.0044995859705910055,1,RF_max_depth=2_min_samples_leaf=5
ANKHD1-EIF4EBP3,0.0045531843497527025,1,RF_max_depth=2_min_samples_leaf=5
LINC01492,0.004564637143494248,1,RF_max_depth=2_min_samples_leaf=5
LINC01545,0.004584520920118339,1,RF_max_depth=2_min_samples_leaf=5
LINC01419,0.004587501041338265,1,RF_max_depth=2_min_samples_leaf=5
PRRX1,0.004674634222980005,1,RF_max_depth=2_min_samples_leaf=5
BACH1-IT1,0.004786436550310819,1,RF_max_depth=2_min_samples_leaf=5
ATF5,0.0049002181347656965,1,RF_max_depth=2_min_samples_leaf=5
SRRM1P3,0.005003798343112754,1,RF_max_depth=2_min_samples_leaf=5
IGHJ4,0.0050840001421923724,1,RF_max_depth=2_min_samples_leaf=5
IGLV2-11,0.005153381494996638,1,RF_max_depth=2_min_samples_leaf=5
BMS1P2,0.005187739180541355,1,RF_max_depth=2_min_samples_leaf=5
AC022034.3,0.00523552844238822,1,RF_max_depth=2_min_samples_leaf=5
RPS24P8,0.005462729977602703,1,RF_max_depth=2_min_samples_leaf=5
AC024581.2,0.005634842471787273,1,RF_max_depth=2_min_samples_leaf=5
ANKRD44-IT1,0.005747351704863533,1,RF_max_depth=2_min_samples_leaf=5
NUDT6,0.005802118295066351,1,RF_max_depth=2_min_samples_leaf=5
TNFSF8,0.005959843022943946,1,RF_max_depth=2_min_samples_leaf=5
SNORD92,0.006075360286709726,1,RF_max_depth=2_min_samples_leaf=5
AL590617.2,0.006329224341651748,1,RF_max_depth=2_min_samples_leaf=5
SLC44A3-AS1,0.006456287290073491,1,RF_max_depth=2_min_samples_leaf=5
NGFR,0.006652723111751038,1,RF_max_depth=2_min_samples_leaf=5
RNA5-8SP2,0.0068242201271174925,1,RF_max_depth=2_min_samples_leaf=5
IGLV2-28,0.006974202273759184,1,RF_max_depth=2_min_samples_leaf=5
IGLC5,0.007013245597450613,1,RF_max_depth=2_min_samples_leaf=5
RF00405,0.007218716177018154,1,RF_max_depth=2_min_samples_leaf=5
P4HA3-AS1,0.007409875797876151,1,RF_max_depth=2_min_samples_leaf=5
RPL10P13,0.007419456502267746,1,RF_max_depth=2_min_samples_leaf=5
P3H2-AS1,0.007445023725473846,1,RF_max_depth=2_min_samples_leaf=5
ZNF706,0.007524742674463662,1,RF_max_depth=2_min_samples_leaf=5
NARF-AS1,0.007555419457777155,1,RF_max_depth=2_min_samples_leaf=5
MYL9,0.007613027615975147,1,RF_max_depth=2_min_samples_leaf=5
IGKV3D-7,0.00791871779435085,1,RF_max_depth=2_min_samples_leaf=5
HNRNPUL2,0.008055771302827766,1,RF_max_depth=2_min_samples_leaf=5
RPL10P1,0.008440725375842941,1,RF_max_depth=2_min_samples_leaf=5
AL590135.1,0.008534348536954842,1,RF_max_depth=2_min_samples_leaf=5
AC019080.4,0.00889239511593827,1,RF_max_depth=2_min_samples_leaf=5
ZNF514,0.009356955173935462,1,RF_max_depth=2_min_samples_leaf=5
ZSWIM7,0.009521556205660983,1,RF_max_depth=2_min_samples_leaf=5
AC093155.2,0.009556252744553293,1,RF_max_depth=2_min_samples_leaf=5
SCHIP1,0.009606966829665118,1,RF_max_depth=2_min_samples_leaf=5
MAPRE1P1,0.009608928869170277,1,RF_max_depth=2_min_samples_leaf=5
RPL6P30,0.009904197660925828,1,RF_max_depth=2_min_samples_leaf=5
AC007384.1,0.010077469057831795,1,RF_max_depth=2_min_samples_leaf=5
RPL21P134,0.010136990899465447,1,RF_max_depth=2_min_samples_leaf=5
IGHV3-11,0.010197706065017409,1,RF_max_depth=2_min_samples_leaf=5
CCND2,0.010226221719737333,1,RF_max_depth=2_min_samples_leaf=5
PSMD10P2,0.010248659899177079,1,RF_max_depth=2_min_samples_leaf=5
AL359878.1,0.010335977513948318,1,RF_max_depth=2_min_samples_leaf=5
IGKV6-21,0.01042238347633547,1,RF_max_depth=2_min_samples_leaf=5
AL449283.1,0.010650601270431992,1,RF_max_depth=2_min_samples_leaf=5
FABP5P3,0.01082248969703772,1,RF_max_depth=2_min_samples_leaf=5
TMEM164,0.011052541505858554,1,RF_max_depth=2_min_samples_leaf=5
AFAP1-AS1,0.011352770632880304,1,RF_max_depth=2_min_samples_leaf=5
LINC01503,0.011505215594050168,1,RF_max_depth=2_min_samples_leaf=5
AC021231.2,0.011526526911483858,1,RF_max_depth=2_min_samples_leaf=5
RBBP4P4,0.011610205724525932,1,RF_max_depth=2_min_samples_leaf=5
IGKJ5,0.011616432068593356,1,RF_max_depth=2_min_samples_leaf=5
AL590135.1,3.1971022153065816e-05,2,RF_max_depth=2_min_samples_leaf=5
INSIG2,5.017402528981735e-05,2,RF_max_depth=2_min_samples_leaf=5
C11orf74,0.00014722116441378947,2,RF_max_depth=2_min_samples_leaf=5
AF131215.4,0.00015481152441078477,2,RF_max_depth=2_min_samples_leaf=5
AP002472.1,0.0003416576051358254,2,RF_max_depth=2_min_samples_leaf=5
ZNF679,0.00045301368754351533,2,RF_max_depth=2_min_samples_leaf=5
AL078621.2,0.0005377599355226338,2,RF_max_depth=2_min_samples_leaf=5
ZNF581,0.0005689369293054882,2,RF_max_depth=2_min_samples_leaf=5
CEP72,0.0005751284466062144,2,RF_max_depth=2_min_samples_leaf=5
CRABP2,0.000580248472754793,2,RF_max_depth=2_min_samples_leaf=5
RESP18,0.0005898233991225341,2,RF_max_depth=2_min_samples_leaf=5
CLCA3P,0.0006142636773513126,2,RF_max_depth=2_min_samples_leaf=5
CABS1,0.0006302136297674358,2,RF_max_depth=2_min_samples_leaf=5
ZFP92,0.0006356264695270192,2,RF_max_depth=2_min_samples_leaf=5
ADAM6,0.0007520414501502492,2,RF_max_depth=2_min_samples_leaf=5
PAGE2B,0.0007662953802445802,2,RF_max_depth=2_min_samples_leaf=5
PFDN1,0.0009369502725865846,2,RF_max_depth=2_min_samples_leaf=5
GUCA1C,0.0009516617302874637,2,RF_max_depth=2_min_samples_leaf=5
TUBG1P,0.0010425540222084094,2,RF_max_depth=2_min_samples_leaf=5
CCDC183,0.0010448102041374827,2,RF_max_depth=2_min_samples_leaf=5
S100Z,0.0010611433681799618,2,RF_max_depth=2_min_samples_leaf=5
EIPR1,0.0011017312083813112,2,RF_max_depth=2_min_samples_leaf=5
AL162431.3,0.0012076317623024946,2,RF_max_depth=2_min_samples_leaf=5
C5orf47,0.0012183576250322883,2,RF_max_depth=2_min_samples_leaf=5
TEX13A,0.0012471028068809801,2,RF_max_depth=2_min_samples_leaf=5
VSIG2,0.0013006671598326247,2,RF_max_depth=2_min_samples_leaf=5
ARHGAP42P3,0.0013007965119748246,2,RF_max_depth=2_min_samples_leaf=5
TAS2R8,0.0013318185621141088,2,RF_max_depth=2_min_samples_leaf=5
FAM47A,0.0013412631422049326,2,RF_max_depth=2_min_samples_leaf=5
FP565260.6,0.001405386190820465,2,RF_max_depth=2_min_samples_leaf=5
