gene,padj,fold,model
AL449283.1,0.005478058349654028,1,RF_max_depth=2_min_samples_leaf=5
ANKRD44-IT1,0.1326040836649415,1,RF_max_depth=2_min_samples_leaf=5
LINC00514,0.6217409034736991,1,RF_max_depth=2_min_samples_leaf=5
AL160272.1,0.7531634811232342,1,RF_max_depth=2_min_samples_leaf=5
MT-RNR1,0.7531634811232342,1,RF_max_depth=2_min_samples_leaf=5
SEMA3F,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
ENPP4,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
LAS1L,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
NIPAL3,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
STPG1,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
TSPAN6,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
FUCA2,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
CFH,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
FGR,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
C1orf112,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
SCYL3,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
DPM1,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
TNMD,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
GCLC,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
NFYA,0.9999856994151731,1,RF_max_depth=2_min_samples_leaf=5
UCKL1-AS1,0.21132863233621552,2,RF_max_depth=2_min_samples_leaf=5
SLX1B-SULT1A4,0.30852747005134373,2,RF_max_depth=2_min_samples_leaf=5
SLX1A-SULT1A3,0.30852747005134373,2,RF_max_depth=2_min_samples_leaf=5
CBR3-AS1,0.30852747005134373,2,RF_max_depth=2_min_samples_leaf=5
HYPK,0.30852747005134373,2,RF_max_depth=2_min_samples_leaf=5
AC102953.2,0.30852747005134373,2,RF_max_depth=2_min_samples_leaf=5
AC112504.1,0.3109826917247318,2,RF_max_depth=2_min_samples_leaf=5
AL121906.2,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
LINC01578,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
RN7SL784P,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AC015813.1,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AC093323.3,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
PCSK6-AS1,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
INAFM2,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AP002518.2,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AL031594.1,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
MT-CO1,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AC092368.3,0.3397151482319418,2,RF_max_depth=2_min_samples_leaf=5
AL022322.2,0.35451681763684567,2,RF_max_depth=2_min_samples_leaf=5
