gene,padj,fold,model
CAMK1G,0.0002346121904188318,1,LR_C=0.001
EFHC2,0.0031374001214932636,1,LR_C=0.001
CABP2,0.004218217529974291,1,LR_C=0.001
HNRNPCL4,0.004218217529974291,1,LR_C=0.001
MGAT4D,0.019711618421288726,1,LR_C=0.001
TRIM51CP,0.019711618421288726,1,LR_C=0.001
FAM47C,0.019711618421288726,1,LR_C=0.001
AC005696.4,0.019711618421288726,1,LR_C=0.001
KRTAP10-8,0.019711618421288726,1,LR_C=0.001
DEFB106B,0.019711618421288726,1,LR_C=0.001
DEFB106A,0.019711618421288726,1,LR_C=0.001
AC135731.1,0.019711618421288726,1,LR_C=0.001
AC127070.4,0.019711618421288726,1,LR_C=0.001
DEFB4B,0.019711618421288726,1,LR_C=0.001
WFDC5,0.019711618421288726,1,LR_C=0.001
DCDC2C,0.027057107307385093,1,LR_C=0.001
C2orf92,0.027385840492625924,1,LR_C=0.001
CSF2,0.03317754905023052,1,LR_C=0.001
AL117328.2,0.03317754905023052,1,LR_C=0.001
C8orf87,0.03317754905023052,1,LR_C=0.001
TAS1R2,0.03317754905023052,1,LR_C=0.001
AC092068.2,0.03317754905023052,1,LR_C=0.001
AL133245.1,0.03586210693144581,1,LR_C=0.001
OR52E6,0.038604436431056294,1,LR_C=0.001
AL353726.2,0.038629659973828924,1,LR_C=0.001
GPR6,0.038629659973828924,1,LR_C=0.001
KLF17,0.039947763987508066,1,LR_C=0.001
AC009086.3,0.039947763987508066,1,LR_C=0.001
AL139384.2,0.04422728165507532,1,LR_C=0.001
AC020917.4,0.04422728165507532,1,LR_C=0.001
AC017002.1,0.04422728165507532,1,LR_C=0.001
GP9,0.04422728165507532,1,LR_C=0.001
AC138647.1,0.058754469042218836,1,LR_C=0.001
LGALS14,0.07252118709399037,1,LR_C=0.001
AL162171.3,0.07741974148695221,1,LR_C=0.001
AC020908.3,0.08455257332165889,1,LR_C=0.001
AC005899.1,0.09002626812741678,1,LR_C=0.001
FAM47A,0.09125889972548598,1,LR_C=0.001
ATP5F1E,0.09125889972548598,1,LR_C=0.001
AC006538.1,0.09693472950570264,1,LR_C=0.001
OR5H2,0.09948872819526197,1,LR_C=0.001
CAMK2N2,0.09976288301590981,1,LR_C=0.001
TSPY2,0.13283227073027282,2,LR_C=0.001
LGI3,0.18427379154017176,2,LR_C=0.001
ATOH1,0.18427379154017176,2,LR_C=0.001
POU4F1,0.2371822219764822,2,LR_C=0.001
HAPLN1,0.2371822219764822,2,LR_C=0.001
KIR3DX1,0.2787111715702861,2,LR_C=0.001
TSPY9P,0.5016764055996401,2,LR_C=0.001
HOXA5,0.5069232359466297,2,LR_C=0.001
KCNJ10,0.5069232359466297,2,LR_C=0.001
LINC00304,0.5069232359466297,2,LR_C=0.001
AC135050.1,0.5069232359466297,2,LR_C=0.001
AC025430.1,0.5069232359466297,2,LR_C=0.001
AC064807.1,0.5723168173304156,2,LR_C=0.001
TBXT,0.5957011847396212,2,LR_C=0.001
CADM3,0.6240571435232605,2,LR_C=0.001
ZNF710-AS1,0.6240571435232605,2,LR_C=0.001
TSPY7P,0.6240571435232605,2,LR_C=0.001
AZIN2,0.6358078434146772,2,LR_C=0.001
OLFM3,0.6538460975620365,2,LR_C=0.001
TSPAN11,0.6538460975620365,2,LR_C=0.001
CCIN,3.556204501672295e-05,3,LR_C=0.001
FOXI2,4.30119628292221e-05,3,LR_C=0.001
TSNAXIP1,9.820043745730653e-05,3,LR_C=0.001
TRIM60,0.0001057561980992679,3,LR_C=0.001
EFHC2,0.00013254290395039013,3,LR_C=0.001
AC135731.1,0.00021077485487619576,3,LR_C=0.001
AQP12B,0.0005806761347163215,3,LR_C=0.001
SUN3,0.0007863187820017613,3,LR_C=0.001
SLC34A3,0.00111626315397771,3,LR_C=0.001
UBBP1,0.001417335229653906,3,LR_C=0.001
SPDYA,0.0014557504666834356,3,LR_C=0.001
AC139426.1,0.001965810460098856,3,LR_C=0.001
ZMAT4,0.001965810460098856,3,LR_C=0.001
C6orf222,0.001965810460098856,3,LR_C=0.001
DNM1P47,0.001965810460098856,3,LR_C=0.001
BSPRY,0.001965810460098856,3,LR_C=0.001
GRHL3,0.001965810460098856,3,LR_C=0.001
PADI1,0.0020987784117093354,3,LR_C=0.001
DEFB4B,0.0023265236672844144,3,LR_C=0.001
C3orf84,0.0023265236672844144,3,LR_C=0.001
CABP2,0.0023265236672844144,3,LR_C=0.001
MYF6,0.002393416775832938,3,LR_C=0.001
UMOD,0.0024370834868512638,3,LR_C=0.001
UGT3A2,0.0025324689231368265,3,LR_C=0.001
IRX6,0.0025324689231368265,3,LR_C=0.001
CCT8L1P,0.0025324689231368265,3,LR_C=0.001
C17orf78,0.00265201571097863,3,LR_C=0.001
TGIF2LX,0.002752915062437729,3,LR_C=0.001
OR10G9,0.002875224522415194,3,LR_C=0.001
ADAM6,0.0033334976973799202,3,LR_C=0.001
AC006538.1,0.003425993476437647,3,LR_C=0.001
NPY4R,0.004085390491956862,3,LR_C=0.001
HNRNPA1P9,0.004131978270379738,3,LR_C=0.001
NACAD,0.004204473090879509,3,LR_C=0.001
TNNC1,0.004204473090879509,3,LR_C=0.001
C2orf70,0.004436555200641601,3,LR_C=0.001
GPA33,0.004436555200641601,3,LR_C=0.001
SLC7A3,0.004438222826980152,3,LR_C=0.001
AP000552.3,0.004864663140060189,3,LR_C=0.001
DPPA3,0.004864663140060189,3,LR_C=0.001
AC004889.1,0.004864663140060189,3,LR_C=0.001
CAMK1G,0.005079476174166191,3,LR_C=0.001
CLDN19,0.005079476174166191,3,LR_C=0.001
REELD1,0.00513252575798901,3,LR_C=0.001
WFDC5,0.00513252575798901,3,LR_C=0.001
BPIFB6,0.00513252575798901,3,LR_C=0.001
GPR6,0.00513252575798901,3,LR_C=0.001
NPY5R,0.00513252575798901,3,LR_C=0.001
LRRC30,0.00513252575798901,3,LR_C=0.001
PROKR2,0.00513252575798901,3,LR_C=0.001
CATSPER4,0.00513252575798901,3,LR_C=0.001
AC012354.2,0.00513252575798901,3,LR_C=0.001
POPDC3,0.00513252575798901,3,LR_C=0.001
FGF8,0.00513252575798901,3,LR_C=0.001
FAM47C,0.00513252575798901,3,LR_C=0.001
IGKV1OR2-118,0.00513252575798901,3,LR_C=0.001
REC114,0.00513252575798901,3,LR_C=0.001
SMYD1,0.00536889924013486,3,LR_C=0.001
PADI3,0.005403135267365348,3,LR_C=0.001
MOS,0.005687326339847545,3,LR_C=0.001
KCNIP1,0.005687326339847545,3,LR_C=0.001
KRTAP10-8,0.005871614377615396,3,LR_C=0.001
RFPL4AP1,0.006104574791591355,3,LR_C=0.001
PPP4R3C,0.006104574791591355,3,LR_C=0.001
GJB3,0.006104574791591355,3,LR_C=0.001
ACTRT3,0.006104574791591355,3,LR_C=0.001
DEFB106A,0.00612084847942525,3,LR_C=0.001
SLC29A4P1,0.006163251206785638,3,LR_C=0.001
OR6P1,0.006694240499421805,3,LR_C=0.001
