feature,coefficient,model,fold
GLCM_invVar_8gl,0.1071915542707347,LR_C=0.1,2
FD_mean_LHH_8gl,0.12786592991594084,LR_C=0.1,3
GLCM_Homoge_HHL_32gl,1.1688422110450578,LR_C=1,1
GLCM_AutoCorrel_HLH_32gl,0.7404392254851293,LR_C=1,1
GLCM_sumAvg_HLH_256gl,0.6724724410342433,LR_C=1,1
GLRLM_LGLRE_HLH_8gl,0.5593148457666857,LR_C=1,1
FD_min_HLL_256gl,0.3741617751410896,LR_C=1,1
GLSZM_GlVarianc_HHL_64gl,0.3437896630963289,LR_C=1,1
FD_sd_HHL_8gl,0.2660881603848022,LR_C=1,1
GLCM_Entrop_HLH_64gl,0.24741836376428106,LR_C=1,1
GLCM_sumEnt_HHL_64gl,-0.2448088347330091,LR_C=1,1
FD_min_HLL_16gl,0.20755755179600618,LR_C=1,1
FD_sd_HHL_32gl,-0.150075876629988,LR_C=1,1
GLSZM_ZoneLoGl_HLH_4gl,0.10861038117697373,LR_C=1,1
GLRLM_LRHGLE_HLH_128gl,-0.10096653272646883,LR_C=1,1
GLCM_difEnt_HHL_256gl,-0.09769711756906384,LR_C=1,1
GLSZM_GlVarianc_HHL_32gl,-0.0870786910328698,LR_C=1,1
GLRLM_LGLRE_HLH_4gl,0.05831674423240104,LR_C=1,1
GLSZM_GlVarianc_HHH_64gl,0.05758265919099724,LR_C=1,1
GLSZM_ZoneHiGl_HLH_32gl,-0.045374946554491286,LR_C=1,1
NGTDM_Complex_HHL_256gl,0.03937662961909427,LR_C=1,1
GLSZM_SzoneHiGl_HHL_128gl,-0.022681368896697515,LR_C=1,1
GLRLM_LRHGLE_HLH_256gl,0.018860752586263074,LR_C=1,1
FD_var_HHL_8gl,-0.005137117717493825,LR_C=1,1
DifferenceAverageAveraged3D,0.9201723109302042,LR_C=1,2
NormalisedRunLengthNonUniformityMerged3D,0.6206954006376976,LR_C=1,2
FD_lacunarity_LLL_16gl,-0.5794003479212111,LR_C=1,2
GLCM_invVar_8gl,0.5715857232029218,LR_C=1,2
FD_sd_LLL_16gl,0.3170104660241562,LR_C=1,2
NormalisedDependenceCountNonUniformity3D,0.28040187722144044,LR_C=1,2
JointEntropyMerged3D,-0.2636234742570405,LR_C=1,2
GLCM_invVar_128gl,0.2501045223467355,LR_C=1,2
GLCM_Homoge_64gl,0.22078192160820084,LR_C=1,2
FD_sd_LHL_8gl,-0.187003312596388,LR_C=1,2
FD_sd_16gl,0.14264788486578706,LR_C=1,2
ZonePercentage3D,0.14248577958319703,LR_C=1,2
GLRLM_SRE_LHL_16gl,-0.11086247314185856,LR_C=1,2
GLCM_Entrop_LHH_64gl,0.09380423207171448,LR_C=1,2
JointMaximumAveraged3D,-0.02485153356871374,LR_C=1,2
LowDependenceHighGrayLevelEmphasis3D,0.024603623888705174,LR_C=1,2
GLCM_Homoge1_LHH_8gl,0.6687219258012874,LR_C=1,3
GLCM_Entrop_HLH_64gl,0.6273013067407569,LR_C=1,3
FD_mean_LHH_8gl,0.4790453758620686,LR_C=1,3
GLCM_Contra_LHL_128gl,0.43223931747945993,LR_C=1,3
GLCM_Contra_LHL_32gl,0.4220642095126036,LR_C=1,3
GLCM_invVar_LHL_64gl,0.3927406773896523,LR_C=1,3
GLCM_sumEnt_HLH_256gl,0.29595879286063975,LR_C=1,3
GLCM_Contra_LHL_256gl,0.2236014073041291,LR_C=1,3
