experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - Arterial Radiomics,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - Arterial Radiomics,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - Arterial Radiomics,LR_C=0.1,0.526,0.073,0.661,0.022
RFS 1 year - Arterial Radiomics,LR_C=1,0.654,0.121,0.66,0.055
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=5,0.629,0.091,0.625,0.086
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=10,0.665,0.123,0.66,0.093
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=15,0.612,0.077,0.661,0.022
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=5,0.624,0.089,0.625,0.086
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=10,0.665,0.123,0.66,0.093
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=15,0.612,0.077,0.661,0.022
RFS 2 year - Arterial Radiomics,LR_C=0.001,0.5,0.0,0.481,0.026
RFS 2 year - Arterial Radiomics,LR_C=0.01,0.5,0.0,0.481,0.026
RFS 2 year - Arterial Radiomics,LR_C=0.1,0.5,0.0,0.481,0.026
RFS 2 year - Arterial Radiomics,LR_C=1,0.537,0.049,0.5,0.079
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=5,0.541,0.086,0.5,0.079
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=10,0.57,0.077,0.537,0.069
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=5,0.541,0.086,0.481,0.069
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=10,0.57,0.077,0.537,0.069
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
