target,fold,model,gene,coefficient
rfs_1year,1,LR_C=1,TSPAN6,-0.337585
rfs_1year,1,LR_C=1,DPM1,-0.882936
rfs_1year,1,LR_C=1,C1orf112,0.431811
rfs_1year,1,LR_C=1,FGR,0.556092
rfs_1year,1,LR_C=1,CFH,0.733252
rfs_1year,1,LR_C=1,FUCA2,0.077455
rfs_1year,1,LR_C=1,ENPP4,0.057419
rfs_1year,1,LR_C=1,SEMA3F,-0.023424
rfs_1year,1,LR_C=1,CYP51A1,-0.694428
rfs_1year,1,LR_C=1,KRIT1,0.534259
rfs_1year,1,LR_C=1,RAD52,0.003572
rfs_1year,2,LR_C=1,GFRA3,-0.363362
rfs_1year,2,LR_C=1,EFHC2,0.464086
rfs_1year,2,LR_C=1,DEFB115,0.038891
rfs_1year,2,LR_C=1,CLDN34,0.928085
rfs_1year,2,LR_C=1,RN7SL499P,-0.358737
rfs_1year,2,LR_C=1,INAFM2,-0.711373
rfs_1year,2,LR_C=1,AC006538.1,-0.289417
rfs_1year,2,LR_C=1,RN7SL665P,-0.157678
rfs_1year,2,LR_C=1,AC073548.1,-0.416573
rfs_1year,3,LR_C=1,TRIO,-0.061988
rfs_1year,3,LR_C=1,EREG,-0.767566
rfs_1year,3,LR_C=1,MED10,0.511576
rfs_1year,3,LR_C=1,MUC4,0.109174
rfs_1year,3,LR_C=1,DCUN1D2,0.078809
rfs_1year,3,LR_C=1,ROR2,-0.189802
rfs_1year,3,LR_C=1,TNFRSF4,-0.227894
rfs_1year,3,LR_C=1,WDR86,-0.130569
rfs_1year,3,LR_C=1,ZNF286A,-0.50254
rfs_1year,3,LR_C=1,GOLGA6L3,-0.79731
rfs_1year,3,LR_C=1,TUBA3C,-0.037651
rfs_1year,3,LR_C=1,PLPP6,0.477094
rfs_1year,3,LR_C=1,IGHV3-73,0.218034
rfs_1year,3,LR_C=1,AL161756.1,0.021787
rfs_1year,3,LR_C=1,TMEM185B,-0.497789
rfs_1year,3,LR_C=1,AL022068.1,0.077159
rfs_1year,3,LR_C=1,AC010834.3,1.036253
rfs_1year,3,LR_C=1,MAP2K1P1,-0.087026
rfs_1year,3,LR_C=1,AC092720.1,-0.073072
rfs_1year,3,LR_C=1,LINC00514,-0.263958
rfs_1year,3,LR_C=1,RN7SL121P,-0.470509
rfs_1year,3,LR_C=1,AC093826.2,-0.018437
rfs_2year,1,LR_C=1,SYNGR4,-0.098578
rfs_2year,1,LR_C=1,GJA10,-0.507542
rfs_2year,1,LR_C=1,LACC1,1.532197
rfs_2year,1,LR_C=1,NYX,-0.207911
rfs_2year,1,LR_C=1,OR9K1P,-0.119707
rfs_2year,1,LR_C=1,AC004899.1,0.637581
rfs_2year,1,LR_C=1,C2orf92,-0.536317
rfs_2year,1,LR_C=1,HK2P1,0.233129
rfs_2year,1,LR_C=1,C2orf27AP3,-0.269956
rfs_2year,1,LR_C=1,IGKV1D-43,0.104656
rfs_2year,1,LR_C=1,AC130366.1,0.429891
rfs_2year,1,LR_C=1,AC020908.3,-0.035536
rfs_2year,1,LR_C=1,CU633906.1,-0.046755
rfs_2year,1,LR_C=1,CU634019.1,-0.174672
rfs_2year,1,LR_C=1,AL138820.1,-0.303762
rfs_2year,1,LR_C=1,AC073548.1,-0.562435
rfs_2year,2,LR_C=0.1,HAPLN1,0.030463
rfs_2year,2,LR_C=0.1,EPHB3,0.033981
rfs_2year,2,LR_C=1,PRMT8,0.096423
rfs_2year,2,LR_C=1,AIPL1,0.415069
rfs_2year,2,LR_C=1,SNCA,0.150369
rfs_2year,2,LR_C=1,HAPLN1,1.32494
rfs_2year,2,LR_C=1,KCNJ1,0.332526
rfs_2year,2,LR_C=1,PADI4,0.233989
rfs_2year,2,LR_C=1,OR3A3,-0.322794
rfs_2year,2,LR_C=1,EPHB3,0.412068
rfs_2year,2,LR_C=1,DUX4L9,-0.544322
rfs_2year,2,LR_C=1,IGKV1OR10-1,0.157797
rfs_2year,2,LR_C=1,TGFBR3L,0.236978
rfs_2year,2,LR_C=1,SCRT1,0.452054
rfs_2year,3,LR_C=1,LGALS14,0.589983
rfs_2year,3,LR_C=1,PILRA,0.332148
rfs_2year,3,LR_C=1,SLC35E4,0.49384
rfs_2year,3,LR_C=1,BARHL2,0.341092
rfs_2year,3,LR_C=1,ZMAT4,0.035675
rfs_2year,3,LR_C=1,PBK,0.276711
rfs_2year,3,LR_C=1,TRAM1L1,-0.374791
rfs_2year,3,LR_C=1,FOXL2,-0.491228
rfs_2year,3,LR_C=1,MEIG1,0.540498
rfs_2year,3,LR_C=1,TDRKH-AS1,-0.1191
rfs_2year,3,LR_C=1,IGHV3-48,0.001132
rfs_2year,3,LR_C=1,IGHV3-72,0.272404
rfs_2year,3,LR_C=1,AC004911.1,-0.197734
rfs_2year,3,LR_C=1,AL445235.1,-0.42477
rfs_2year,3,LR_C=1,RHOA-IT1,-0.358944
rfs_2year,3,LR_C=1,OR2I1P,0.485769
rfs_2year,3,LR_C=1,RF00405,0.602821
rfs_2year,3,LR_C=1,MTRNR2L8,0.578854
