experiment,model,fold,train_auc,test_auc,best_params,rfs_year,model_type
RFS 1 year - RNA-seq,LR_C=0.001,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,1,0.8685897435897436,0.8846153846153847,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,2,0.9266666666666666,0.6309523809523809,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,3,0.9507692307692308,0.5416666666666666,{},1,lr
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,1,0.9711538461538463,0.7820512820512822,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,2,0.9933333333333333,0.5476190476190477,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,3,0.966153846153846,0.4722222222222222,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,1,0.9583333333333334,0.6666666666666666,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,2,0.91,0.4642857142857143,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,3,0.8246153846153846,0.3611111111111111,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,1,0.6378205128205128,0.36538461538461536,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,2,0.5316666666666667,0.4642857142857143,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,3,0.6461538461538461,0.5416666666666667,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,1,0.9807692307692308,0.7564102564102564,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,2,0.9966666666666666,0.5357142857142857,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,3,0.966153846153846,0.4722222222222222,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,1,0.9583333333333334,0.6666666666666666,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,2,0.91,0.4642857142857143,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,3,0.8246153846153846,0.3611111111111111,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,1,0.6378205128205128,0.36538461538461536,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,2,0.5316666666666667,0.4642857142857143,{},1,rf
