feature,coefficient,fold,model
AC005696.4,-0.7540001096170613,1,LR_C=1
AC025580.2,-0.30266467634853034,1,LR_C=1
AC004889.1,-0.2836942621610973,1,LR_C=1
INAFM2,-0.26719699931084234,1,LR_C=1
AC127070.4,-0.2605715813950113,1,LR_C=1
LINC00514,-0.2272842332864309,1,LR_C=1
AL008638.3,-0.22113364309934141,1,LR_C=1
AC092068.2,-0.18389756859772943,1,LR_C=1
CCDC26,-0.03518545723545524,1,LR_C=1
AC102953.2,-0.677942560253323,2,LR_C=1
INAFM2,-0.5500357616765371,2,LR_C=1
AC008395.1,-0.4815791554544979,2,LR_C=1
AC025580.2,-0.4241076998656185,2,LR_C=1
AC006538.1,-0.36720289121873523,2,LR_C=1
AC135731.1,0.03565182437369947,2,LR_C=1
AC008395.1,-0.8740733193242163,3,LR_C=1
AC102953.2,-0.7051479981455964,3,LR_C=1
AC135731.1,0.7012034886696181,3,LR_C=1
AC025580.2,-0.5784734231027613,3,LR_C=1
AC005696.4,-0.4337898536545739,3,LR_C=1
AL138889.1,0.4095835552568244,3,LR_C=1
AL117328.2,-0.26300785503915797,3,LR_C=1
AC004889.1,-0.23992456317829403,3,LR_C=1
AC006538.1,-0.218618733649741,3,LR_C=1
AC092068.2,-0.17271633504199335,3,LR_C=1
LINC00514,-0.11206543324489558,3,LR_C=1
AC127070.4,-0.016409941581036844,3,LR_C=1
