feature,fold,model
CCDC26,1,LR_C=0.001
AL031594.1,1,LR_C=0.001
AL138889.1,1,LR_C=0.001
EGFL8,1,LR_C=0.001
AC004889.1,1,LR_C=0.001
INAFM2,1,LR_C=0.001
AC025580.2,1,LR_C=0.001
PCSK6-AS1,1,LR_C=0.001
AC135731.1,1,LR_C=0.001
AC006538.1,1,LR_C=0.001
LINC00514,1,LR_C=0.001
AC092068.2,1,LR_C=0.001
AC008395.1,1,LR_C=0.001
AC016355.1,1,LR_C=0.001
AC005696.4,1,LR_C=0.001
AC127070.4,1,LR_C=0.001
AL353726.2,1,LR_C=0.001
AL008638.3,1,LR_C=0.001
AL117328.2,1,LR_C=0.001
AL160272.1,1,LR_C=0.001
CCDC26,2,LR_C=0.001
AL031594.1,2,LR_C=0.001
AL138889.1,2,LR_C=0.001
EGFL8,2,LR_C=0.001
AC004889.1,2,LR_C=0.001
INAFM2,2,LR_C=0.001
AC025580.2,2,LR_C=0.001
PCSK6-AS1,2,LR_C=0.001
AC135731.1,2,LR_C=0.001
AC006538.1,2,LR_C=0.001
LINC00514,2,LR_C=0.001
AC092068.2,2,LR_C=0.001
AC008395.1,2,LR_C=0.001
AC016355.1,2,LR_C=0.001
AC005696.4,2,LR_C=0.001
AC127070.4,2,LR_C=0.001
AL353726.2,2,LR_C=0.001
AL008638.3,2,LR_C=0.001
AL117328.2,2,LR_C=0.001
AL160272.1,2,LR_C=0.001
CCDC26,3,LR_C=0.001
AL031594.1,3,LR_C=0.001
AL138889.1,3,LR_C=0.001
EGFL8,3,LR_C=0.001
AC004889.1,3,LR_C=0.001
INAFM2,3,LR_C=0.001
AC025580.2,3,LR_C=0.001
PCSK6-AS1,3,LR_C=0.001
AC135731.1,3,LR_C=0.001
AC006538.1,3,LR_C=0.001
LINC00514,3,LR_C=0.001
AC092068.2,3,LR_C=0.001
AC008395.1,3,LR_C=0.001
AC016355.1,3,LR_C=0.001
AC005696.4,3,LR_C=0.001
AC127070.4,3,LR_C=0.001
AL353726.2,3,LR_C=0.001
AL008638.3,3,LR_C=0.001
AL117328.2,3,LR_C=0.001
AL160272.1,3,LR_C=0.001
CCDC26,1,LR_C=0.01
AL031594.1,1,LR_C=0.01
