feature,fold,model
ZMYND12,1,RF_max_depth=2_min_samples_leaf=5
H19,1,RF_max_depth=2_min_samples_leaf=5
CAMK2N2,1,RF_max_depth=2_min_samples_leaf=5
CSF2,1,RF_max_depth=2_min_samples_leaf=5
SGSM1,1,RF_max_depth=2_min_samples_leaf=5
HIGD2B,1,RF_max_depth=2_min_samples_leaf=5
RBMXL3,1,RF_max_depth=2_min_samples_leaf=5
LACC1,1,RF_max_depth=2_min_samples_leaf=5
OR52N5,1,RF_max_depth=2_min_samples_leaf=5
AC138647.1,1,RF_max_depth=2_min_samples_leaf=5
AL449283.1,1,RF_max_depth=2_min_samples_leaf=5
HNRNPA1P9,1,RF_max_depth=2_min_samples_leaf=5
AL445235.1,1,RF_max_depth=2_min_samples_leaf=5
AC130366.1,1,RF_max_depth=2_min_samples_leaf=5
AC063947.2,1,RF_max_depth=2_min_samples_leaf=5
AC025580.2,1,RF_max_depth=2_min_samples_leaf=5
AC025198.1,1,RF_max_depth=2_min_samples_leaf=5
AC093525.8,1,RF_max_depth=2_min_samples_leaf=5
AC004241.5,1,RF_max_depth=2_min_samples_leaf=5
AC093826.2,1,RF_max_depth=2_min_samples_leaf=5
ZMYND12,2,RF_max_depth=2_min_samples_leaf=5
H19,2,RF_max_depth=2_min_samples_leaf=5
CAMK2N2,2,RF_max_depth=2_min_samples_leaf=5
CSF2,2,RF_max_depth=2_min_samples_leaf=5
SGSM1,2,RF_max_depth=2_min_samples_leaf=5
HIGD2B,2,RF_max_depth=2_min_samples_leaf=5
RBMXL3,2,RF_max_depth=2_min_samples_leaf=5
LACC1,2,RF_max_depth=2_min_samples_leaf=5
OR52N5,2,RF_max_depth=2_min_samples_leaf=5
AC138647.1,2,RF_max_depth=2_min_samples_leaf=5
AL449283.1,2,RF_max_depth=2_min_samples_leaf=5
HNRNPA1P9,2,RF_max_depth=2_min_samples_leaf=5
AL445235.1,2,RF_max_depth=2_min_samples_leaf=5
AC130366.1,2,RF_max_depth=2_min_samples_leaf=5
AC063947.2,2,RF_max_depth=2_min_samples_leaf=5
AC025580.2,2,RF_max_depth=2_min_samples_leaf=5
AC025198.1,2,RF_max_depth=2_min_samples_leaf=5
AC093525.8,2,RF_max_depth=2_min_samples_leaf=5
AC004241.5,2,RF_max_depth=2_min_samples_leaf=5
AC093826.2,2,RF_max_depth=2_min_samples_leaf=5
ZMYND12,3,RF_max_depth=2_min_samples_leaf=5
H19,3,RF_max_depth=2_min_samples_leaf=5
CAMK2N2,3,RF_max_depth=2_min_samples_leaf=5
CSF2,3,RF_max_depth=2_min_samples_leaf=5
SGSM1,3,RF_max_depth=2_min_samples_leaf=5
HIGD2B,3,RF_max_depth=2_min_samples_leaf=5
RBMXL3,3,RF_max_depth=2_min_samples_leaf=5
LACC1,3,RF_max_depth=2_min_samples_leaf=5
OR52N5,3,RF_max_depth=2_min_samples_leaf=5
AC138647.1,3,RF_max_depth=2_min_samples_leaf=5
AL449283.1,3,RF_max_depth=2_min_samples_leaf=5
HNRNPA1P9,3,RF_max_depth=2_min_samples_leaf=5
AL445235.1,3,RF_max_depth=2_min_samples_leaf=5
AC130366.1,3,RF_max_depth=2_min_samples_leaf=5
AC063947.2,3,RF_max_depth=2_min_samples_leaf=5
AC025580.2,3,RF_max_depth=2_min_samples_leaf=5
AC025198.1,3,RF_max_depth=2_min_samples_leaf=5
AC093525.8,3,RF_max_depth=2_min_samples_leaf=5
AC004241.5,3,RF_max_depth=2_min_samples_leaf=5
AC093826.2,3,RF_max_depth=2_min_samples_leaf=5
ZMYND12,1,RF_max_depth=2_min_samples_leaf=10
H19,1,RF_max_depth=2_min_samples_leaf=10
CAMK2N2,1,RF_max_depth=2_min_samples_leaf=10
CSF2,1,RF_max_depth=2_min_samples_leaf=10
SGSM1,1,RF_max_depth=2_min_samples_leaf=10
HIGD2B,1,RF_max_depth=2_min_samples_leaf=10
RBMXL3,1,RF_max_depth=2_min_samples_leaf=10
LACC1,1,RF_max_depth=2_min_samples_leaf=10
OR52N5,1,RF_max_depth=2_min_samples_leaf=10
AC138647.1,1,RF_max_depth=2_min_samples_leaf=10
AL449283.1,1,RF_max_depth=2_min_samples_leaf=10
HNRNPA1P9,1,RF_max_depth=2_min_samples_leaf=10
AL445235.1,1,RF_max_depth=2_min_samples_leaf=10
AC130366.1,1,RF_max_depth=2_min_samples_leaf=10
AC063947.2,1,RF_max_depth=2_min_samples_leaf=10
AC025580.2,1,RF_max_depth=2_min_samples_leaf=10
AC025198.1,1,RF_max_depth=2_min_samples_leaf=10
AC093525.8,1,RF_max_depth=2_min_samples_leaf=10
AC004241.5,1,RF_max_depth=2_min_samples_leaf=10
AC093826.2,1,RF_max_depth=2_min_samples_leaf=10
ZMYND12,2,RF_max_depth=2_min_samples_leaf=10
H19,2,RF_max_depth=2_min_samples_leaf=10
CAMK2N2,2,RF_max_depth=2_min_samples_leaf=10
CSF2,2,RF_max_depth=2_min_samples_leaf=10
SGSM1,2,RF_max_depth=2_min_samples_leaf=10
HIGD2B,2,RF_max_depth=2_min_samples_leaf=10
RBMXL3,2,RF_max_depth=2_min_samples_leaf=10
LACC1,2,RF_max_depth=2_min_samples_leaf=10
OR52N5,2,RF_max_depth=2_min_samples_leaf=10
AC138647.1,2,RF_max_depth=2_min_samples_leaf=10
AL449283.1,2,RF_max_depth=2_min_samples_leaf=10
HNRNPA1P9,2,RF_max_depth=2_min_samples_leaf=10
AL445235.1,2,RF_max_depth=2_min_samples_leaf=10
AC130366.1,2,RF_max_depth=2_min_samples_leaf=10
AC063947.2,2,RF_max_depth=2_min_samples_leaf=10
AC025580.2,2,RF_max_depth=2_min_samples_leaf=10
AC025198.1,2,RF_max_depth=2_min_samples_leaf=10
AC093525.8,2,RF_max_depth=2_min_samples_leaf=10
AC004241.5,2,RF_max_depth=2_min_samples_leaf=10
AC093826.2,2,RF_max_depth=2_min_samples_leaf=10
ZMYND12,3,RF_max_depth=2_min_samples_leaf=10
H19,3,RF_max_depth=2_min_samples_leaf=10
CAMK2N2,3,RF_max_depth=2_min_samples_leaf=10
CSF2,3,RF_max_depth=2_min_samples_leaf=10
SGSM1,3,RF_max_depth=2_min_samples_leaf=10
HIGD2B,3,RF_max_depth=2_min_samples_leaf=10
RBMXL3,3,RF_max_depth=2_min_samples_leaf=10
LACC1,3,RF_max_depth=2_min_samples_leaf=10
OR52N5,3,RF_max_depth=2_min_samples_leaf=10
AC138647.1,3,RF_max_depth=2_min_samples_leaf=10
AL449283.1,3,RF_max_depth=2_min_samples_leaf=10
HNRNPA1P9,3,RF_max_depth=2_min_samples_leaf=10
AL445235.1,3,RF_max_depth=2_min_samples_leaf=10
AC130366.1,3,RF_max_depth=2_min_samples_leaf=10
AC063947.2,3,RF_max_depth=2_min_samples_leaf=10
AC025580.2,3,RF_max_depth=2_min_samples_leaf=10
AC025198.1,3,RF_max_depth=2_min_samples_leaf=10
AC093525.8,3,RF_max_depth=2_min_samples_leaf=10
AC004241.5,3,RF_max_depth=2_min_samples_leaf=10
AC093826.2,3,RF_max_depth=2_min_samples_leaf=10
ZMYND12,1,RF_max_depth=2_min_samples_leaf=15
H19,1,RF_max_depth=2_min_samples_leaf=15
CAMK2N2,1,RF_max_depth=2_min_samples_leaf=15
CSF2,1,RF_max_depth=2_min_samples_leaf=15
SGSM1,1,RF_max_depth=2_min_samples_leaf=15
HIGD2B,1,RF_max_depth=2_min_samples_leaf=15
RBMXL3,1,RF_max_depth=2_min_samples_leaf=15
LACC1,1,RF_max_depth=2_min_samples_leaf=15
OR52N5,1,RF_max_depth=2_min_samples_leaf=15
AC138647.1,1,RF_max_depth=2_min_samples_leaf=15
AL449283.1,1,RF_max_depth=2_min_samples_leaf=15
HNRNPA1P9,1,RF_max_depth=2_min_samples_leaf=15
AL445235.1,1,RF_max_depth=2_min_samples_leaf=15
AC130366.1,1,RF_max_depth=2_min_samples_leaf=15
AC063947.2,1,RF_max_depth=2_min_samples_leaf=15
AC025580.2,1,RF_max_depth=2_min_samples_leaf=15
AC025198.1,1,RF_max_depth=2_min_samples_leaf=15
AC093525.8,1,RF_max_depth=2_min_samples_leaf=15
AC004241.5,1,RF_max_depth=2_min_samples_leaf=15
AC093826.2,1,RF_max_depth=2_min_samples_leaf=15
ZMYND12,2,RF_max_depth=2_min_samples_leaf=15
H19,2,RF_max_depth=2_min_samples_leaf=15
CAMK2N2,2,RF_max_depth=2_min_samples_leaf=15
CSF2,2,RF_max_depth=2_min_samples_leaf=15
SGSM1,2,RF_max_depth=2_min_samples_leaf=15
HIGD2B,2,RF_max_depth=2_min_samples_leaf=15
RBMXL3,2,RF_max_depth=2_min_samples_leaf=15
LACC1,2,RF_max_depth=2_min_samples_leaf=15
OR52N5,2,RF_max_depth=2_min_samples_leaf=15
AC138647.1,2,RF_max_depth=2_min_samples_leaf=15
AL449283.1,2,RF_max_depth=2_min_samples_leaf=15
HNRNPA1P9,2,RF_max_depth=2_min_samples_leaf=15
AL445235.1,2,RF_max_depth=2_min_samples_leaf=15
AC130366.1,2,RF_max_depth=2_min_samples_leaf=15
AC063947.2,2,RF_max_depth=2_min_samples_leaf=15
AC025580.2,2,RF_max_depth=2_min_samples_leaf=15
AC025198.1,2,RF_max_depth=2_min_samples_leaf=15
AC093525.8,2,RF_max_depth=2_min_samples_leaf=15
AC004241.5,2,RF_max_depth=2_min_samples_leaf=15
AC093826.2,2,RF_max_depth=2_min_samples_leaf=15
