experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.686,0.145,0.659,0.13
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.601,0.132,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.497,0.127,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.457,0.072,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.588,0.122,0.643,0.046
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.497,0.127,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.457,0.072,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.864,0.02,0.833,0.079
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.761,0.067,0.667,0.091
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.686,0.106,0.648,0.139
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.752,0.061,0.685,0.094
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.686,0.106,0.648,0.139
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
