experiment,model,fold,train_auc,test_auc,best_params,rfs_year,model_type
RFS 1 year - RNA-seq,LR_C=0.001,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,1,0.8974358974358974,0.641025641025641,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,2,0.9266666666666666,0.5476190476190477,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,3,0.9661538461538461,0.75,{},1,lr
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,1,0.9903846153846153,0.7051282051282052,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,2,0.9966666666666666,0.7142857142857143,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,3,0.9938461538461538,0.7777777777777778,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,1,0.8621794871794872,0.5256410256410255,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,2,0.87,0.6071428571428571,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,3,0.8553846153846155,0.6666666666666667,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,1,0.6586538461538461,0.532051282051282,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,2,0.5733333333333333,0.49404761904761896,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,3,0.6076923076923078,0.33333333333333337,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,1,0.9871794871794871,0.7307692307692308,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,2,0.99,0.7261904761904762,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,3,0.9938461538461538,0.8055555555555556,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,1,0.8621794871794872,0.5256410256410255,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,2,0.87,0.6071428571428571,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,3,0.8553846153846155,0.6666666666666667,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,1,0.6586538461538461,0.532051282051282,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,2,0.5733333333333333,0.49404761904761896,{},1,rf
