experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.646,0.083,0.68,0.081
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.732,0.032,0.732,0.044
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.6,0.058,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.453,0.086,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.754,0.036,0.767,0.053
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.6,0.058,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.453,0.086,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.876,0.087,0.778,0.045
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.78,0.154,0.667,0.091
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.743,0.181,0.685,0.069
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.793,0.138,0.667,0.091
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.743,0.181,0.685,0.069
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
