feature,fold,model
CFH,1,RF_max_depth=2_min_samples_leaf=5
CYP51A1,1,RF_max_depth=2_min_samples_leaf=5
RAD52,1,RF_max_depth=2_min_samples_leaf=5
AOC1,1,RF_max_depth=2_min_samples_leaf=5
M6PR,1,RF_max_depth=2_min_samples_leaf=5
ALS2,1,RF_max_depth=2_min_samples_leaf=5
SLC7A2,1,RF_max_depth=2_min_samples_leaf=5
ARF5,1,RF_max_depth=2_min_samples_leaf=5
PDK4,1,RF_max_depth=2_min_samples_leaf=5
SLC25A13,1,RF_max_depth=2_min_samples_leaf=5
CALCR,1,RF_max_depth=2_min_samples_leaf=5
MCUB,1,RF_max_depth=2_min_samples_leaf=5
ACSM3,1,RF_max_depth=2_min_samples_leaf=5
PON1,1,RF_max_depth=2_min_samples_leaf=5
ABCB4,1,RF_max_depth=2_min_samples_leaf=5
MYCBP2,1,RF_max_depth=2_min_samples_leaf=5
REX1BD,1,RF_max_depth=2_min_samples_leaf=5
AP2B1,1,RF_max_depth=2_min_samples_leaf=5
RALA,1,RF_max_depth=2_min_samples_leaf=5
USH1C,1,RF_max_depth=2_min_samples_leaf=5
CFH,2,RF_max_depth=2_min_samples_leaf=5
CYP51A1,2,RF_max_depth=2_min_samples_leaf=5
RAD52,2,RF_max_depth=2_min_samples_leaf=5
AOC1,2,RF_max_depth=2_min_samples_leaf=5
M6PR,2,RF_max_depth=2_min_samples_leaf=5
ALS2,2,RF_max_depth=2_min_samples_leaf=5
SLC7A2,2,RF_max_depth=2_min_samples_leaf=5
ARF5,2,RF_max_depth=2_min_samples_leaf=5
PDK4,2,RF_max_depth=2_min_samples_leaf=5
SLC25A13,2,RF_max_depth=2_min_samples_leaf=5
CALCR,2,RF_max_depth=2_min_samples_leaf=5
MCUB,2,RF_max_depth=2_min_samples_leaf=5
ACSM3,2,RF_max_depth=2_min_samples_leaf=5
PON1,2,RF_max_depth=2_min_samples_leaf=5
ABCB4,2,RF_max_depth=2_min_samples_leaf=5
MYCBP2,2,RF_max_depth=2_min_samples_leaf=5
REX1BD,2,RF_max_depth=2_min_samples_leaf=5
AP2B1,2,RF_max_depth=2_min_samples_leaf=5
RALA,2,RF_max_depth=2_min_samples_leaf=5
USH1C,2,RF_max_depth=2_min_samples_leaf=5
CFH,3,RF_max_depth=2_min_samples_leaf=5
CYP51A1,3,RF_max_depth=2_min_samples_leaf=5
RAD52,3,RF_max_depth=2_min_samples_leaf=5
AOC1,3,RF_max_depth=2_min_samples_leaf=5
M6PR,3,RF_max_depth=2_min_samples_leaf=5
ALS2,3,RF_max_depth=2_min_samples_leaf=5
SLC7A2,3,RF_max_depth=2_min_samples_leaf=5
ARF5,3,RF_max_depth=2_min_samples_leaf=5
PDK4,3,RF_max_depth=2_min_samples_leaf=5
SLC25A13,3,RF_max_depth=2_min_samples_leaf=5
CALCR,3,RF_max_depth=2_min_samples_leaf=5
MCUB,3,RF_max_depth=2_min_samples_leaf=5
ACSM3,3,RF_max_depth=2_min_samples_leaf=5
PON1,3,RF_max_depth=2_min_samples_leaf=5
ABCB4,3,RF_max_depth=2_min_samples_leaf=5
MYCBP2,3,RF_max_depth=2_min_samples_leaf=5
REX1BD,3,RF_max_depth=2_min_samples_leaf=5
AP2B1,3,RF_max_depth=2_min_samples_leaf=5
RALA,3,RF_max_depth=2_min_samples_leaf=5
USH1C,3,RF_max_depth=2_min_samples_leaf=5
CFH,1,RF_max_depth=2_min_samples_leaf=10
CYP51A1,1,RF_max_depth=2_min_samples_leaf=10
RAD52,1,RF_max_depth=2_min_samples_leaf=10
AOC1,1,RF_max_depth=2_min_samples_leaf=10
M6PR,1,RF_max_depth=2_min_samples_leaf=10
ALS2,1,RF_max_depth=2_min_samples_leaf=10
SLC7A2,1,RF_max_depth=2_min_samples_leaf=10
ARF5,1,RF_max_depth=2_min_samples_leaf=10
PDK4,1,RF_max_depth=2_min_samples_leaf=10
SLC25A13,1,RF_max_depth=2_min_samples_leaf=10
CALCR,1,RF_max_depth=2_min_samples_leaf=10
MCUB,1,RF_max_depth=2_min_samples_leaf=10
ACSM3,1,RF_max_depth=2_min_samples_leaf=10
PON1,1,RF_max_depth=2_min_samples_leaf=10
ABCB4,1,RF_max_depth=2_min_samples_leaf=10
MYCBP2,1,RF_max_depth=2_min_samples_leaf=10
