,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COL1A1,10954.894275974295,-2.3500234192733895,0.6899937714897048,-3.405861786548683,0.0006595556048039245,0.886691031134804
NPM1,3189.507596770636,-2.7990607800147522,0.8468404309576061,-3.3052989414423424,0.0009487514720994576,0.886691031134804
NAP1L1,1304.6527786816757,-2.4234551613823387,0.7676409484446011,-3.157016527443929,0.0015939231182675502,0.886691031134804
SP100,718.0120776882869,-1.5677693608857244,0.5274602218934401,-2.97229875507551,0.00295578912496017,0.886691031134804
RAB31,247.4666014746391,-2.9199988194760658,1.0135245139532998,-2.8810342318080435,0.003963725886932908,0.886691031134804
RPS12,697.3080908469694,-2.26727690077422,0.8315983863639549,-2.7264084899052827,0.006402770405286728,0.886691031134804
ALDOA,21.426137294106155,-2.918431449798933,1.0870378289469913,-2.6847561069939996,0.007258275039221512,0.886691031134804
CMTM3,105.34507116706806,-2.724280415104424,1.030266547100102,-2.6442481538126947,0.008187260802677917,0.886691031134804
MAL2,149.67276811573174,-1.910094800636591,0.7330122323907523,-2.6058157234385178,0.009165575815983021,0.886691031134804
TRIO,1049.4218678212483,-1.5046207233759965,0.5947196861142453,-2.529966232002214,0.01140735047328936,0.886691031134804
LCN2,72.41553034363723,-3.1504168166367315,1.2505279747743518,-2.5192693647698685,0.01175986539357672,0.886691031134804
CXCL8,168.5317503638833,-3.2279344868221758,1.2821450097544218,-2.5176048436521583,0.011815579829394634,0.886691031134804
LRP12,284.39478212269285,1.0860043309658622,0.43138050209353473,2.517509080024177,0.011818792315316982,0.886691031134804
SCD,2815.8542598483155,-2.2357854938727115,0.9070748520048665,-2.464830205501846,0.013707819255773952,0.886691031134804
LCLAT1,168.26332983382665,-1.6582222503594704,0.6815588388154772,-2.432984734291461,0.014974932233346184,0.886691031134804
H19,3362.668702673805,-2.2206290752620013,0.9145535878446615,-2.4281016495658636,0.015178088574120074,0.886691031134804
RPL7A,1942.3001183304887,-1.9912774606688974,0.8236892697224769,-2.4175105028863766,0.01562708300281029,0.886691031134804
C4A,20698.523583153303,-1.5969818307255392,0.6649607161569567,-2.401618309056003,0.01632272991530501,0.886691031134804
SLC16A3,165.58511835900183,-2.2457295939475888,0.9402088018595274,-2.3885434698186474,0.01691530710596705,0.886691031134804
ACY1,9.115569930691793,-3.1835300883616577,1.341697453842172,-2.3727630094587226,0.017655588162339204,0.886691031134804
COL1A2,3571.668644185769,-1.6356733411255893,0.6913350359831307,-2.365963326015349,0.017983225711134313,0.886691031134804
IGF1,194.27948987882124,-2.667927800635027,1.1376775331923275,-2.3450650318713877,0.019023761150520513,0.886691031134804
AGRN,747.3970045646264,-1.6800806087259903,0.7194157455436901,-2.3353403357279716,0.019525648609414307,0.886691031134804
HAMP,261.5156748967242,-2.50833344440669,1.0749775534038928,-2.3333821589707684,0.019628096802246777,0.886691031134804
AMFR,422.1212565834302,-1.7395622760864393,0.7554213190639127,-2.302770959975069,0.02129173325942416,0.886691031134804
FTH1,4201.289251457869,-1.9242993216926387,0.8398978022429066,-2.2911112715783872,0.021956978901423608,0.886691031134804
IRF2BPL,124.21101500035073,-1.499572085582116,0.6545585698291072,-2.2909670038750325,0.021965322120401674,0.886691031134804
MLXIPL,1344.4788155914177,-1.6575595809056891,0.7277137902762746,-2.2777630478548456,0.02274069904600076,0.886691031134804
SPARCL1,490.1726906814816,-2.1643306173866166,0.9533790650270507,-2.270167970727579,0.02319739354434467,0.886691031134804
INSIG1,467.3351010071058,-2.1441900944569565,0.9471132788257853,-2.263921478447949,0.023578944662962627,0.886691031134804
GNAS,2532.474458146272,-1.4513875238191698,0.6423426293667965,-2.259522344406609,0.023850911994712752,0.886691031134804
GCDH,380.14485026442355,-2.2832517608955634,1.011270636276615,-2.2578048634955326,0.023957827881788227,0.886691031134804
RWDD1,313.76596154719215,-2.142285480723117,0.9499031935737482,-2.2552671632394032,0.024116564429354937,0.886691031134804
BOK,64.87279353705124,-2.711018058205407,1.219326075320795,-2.223374135169019,0.026190582290016837,0.886691031134804
ARHGAP18,182.75036979277334,-2.202375997026348,0.9946883113858901,-2.214136802269042,0.026819369660137805,0.886691031134804
HAAO,167.0748282365057,-2.357256948060388,1.0747680593514328,-2.193270378245955,0.028287904520300132,0.886691031134804
NCL,2861.2475749196055,-1.688672259498865,0.7702736489902386,-2.1923017381064076,0.028357726343742676,0.886691031134804
BCAM,344.0434333449844,-1.9192339700528271,0.8765763604283247,-2.1894658089057124,0.028563001024639934,0.886691031134804
SLBP,189.67422017886366,-2.562672136153447,1.175075027194832,-2.1808583084870086,0.029193898224561966,0.886691031134804
OPLAH,338.72312091561326,-2.5537618236376654,1.173979407820256,-2.175303763103708,0.029607360724408983,0.886691031134804
SUZ12,377.13551107559397,-1.3706801303421432,0.6305580355216172,-2.173757296119895,0.029723367169387123,0.886691031134804
COL6A3,1871.7560624845817,-1.3364472866449741,0.6153290387809185,-2.171922991466038,0.029861471963866647,0.886691031134804
NFKBIA,1028.398504583213,-1.8246719214383242,0.8423632363340966,-2.1661343263022297,0.030300923816410856,0.886691031134804
ABCG8,468.9321189144278,-1.5754390462476062,0.7303876348225256,-2.1569903036904736,0.031006419955588876,0.886691031134804
CTSO,117.80052982955624,-2.299925795788914,1.0662819635767913,-2.15695836031393,0.031008909013687944,0.886691031134804
RPL23A,1120.2961937058703,-1.5944171391226603,0.746219700858473,-2.136659133078899,0.03262572621384212,0.886691031134804
COL18A1,2125.27354229195,-1.6978452457494777,0.7948278875556555,-2.1361168528835637,0.03266989042223462,0.886691031134804
BRD7,345.1983772482519,-1.8740351043898407,0.8845586392811109,-2.118610368118598,0.03412340878330172,0.886691031134804
GNAI2,557.0387061872711,-1.412828734922712,0.669606803929423,-2.109937842076684,0.03486371018893794,0.886691031134804
IER3,139.85325343198096,-2.241971478848738,1.0648792779979013,-2.1053761916223115,0.0352585745674009,0.886691031134804
PTMA,3718.3891292169974,-1.5468039912126206,0.7368208610053186,-2.0992945138688945,0.03579094674843259,0.886691031134804
NOL7,306.1690121280124,-2.532905552848693,1.2077474419255294,-2.0972145871908823,0.03597458377037195,0.886691031134804
IDI1,196.66213023514834,-2.9640379142065574,1.4140223066592341,-2.096174791760808,0.03606668826658114,0.886691031134804
ATOX1,104.43724034113622,-2.1358385392386854,1.0227088781251696,-2.088413022437143,0.03676059379289433,0.886691031134804
TSPAN3,182.90836959609922,-1.8054409464834982,0.8694333576081286,-2.07657197723629,0.03784108151918045,0.886691031134804
HMGCR,654.2302894541385,-2.263853522782232,1.0925358644593486,-2.072109114607895,0.03825526651431862,0.886691031134804
CYB5B,76.0479124815468,-2.149624000907698,1.0382148248951335,-2.0705001983812203,0.03840552748582346,0.886691031134804
TTC39C,404.0352403790922,-1.5431851192911077,0.7498350783366792,-2.05803271129203,0.03958699343013193,0.886691031134804
ACADVL,1110.2802389502297,-1.6134613069508978,0.7847310165022696,-2.056069242862954,0.03977584240111315,0.886691031134804
CXXC5,149.0451326904669,-1.4459312081007636,0.719782304177925,-2.0088451740310354,0.04455355579266864,0.886691031134804
TM7SF2,272.2942336787232,-2.125679297402065,1.0610086633087745,-2.0034514051686405,0.04512885857822311,0.886691031134804
EMD,185.9769180017154,-2.194189471463432,1.0981076328156627,-1.9981551952583199,0.045699837312906375,0.886691031134804
C2,480.85345809147765,-1.6502663108656324,0.8275996504305669,-1.9940394005810238,0.0461477488513584,0.886691031134804
HLA-A,1279.1942909590898,-1.3864751525212435,0.6972675261946176,-1.9884407353487703,0.04676296736572258,0.886691031134804
FGFR4,379.87809370802285,-1.8594314472103868,0.9354592024205887,-1.9877205145867753,0.046842608777368525,0.886691031134804
DGAT2,200.8798055329178,-1.8863891167509779,0.9533475845262726,-1.9787002635437971,0.047849763282452676,0.886691031134804
PRKDC,1997.105646356951,-1.6245827052251716,0.8264261561721002,-1.9657929424088292,0.049322533391531725,0.886691031134804
TMSB4X,1779.9512366835825,-1.7022805919271762,0.867732515986911,-1.9617572933648755,0.049790747950501646,0.886691031134804
YWHAZ,822.4927846330488,-1.3527989051862397,0.6896589102476167,-1.961547781207565,0.04981515690571351,0.886691031134804
TDG,178.96825787961643,-2.1957564135059386,1.1222097751872864,-1.956636327766337,0.05039024075465552,0.886691031134804
PPP2R1B,405.62374730001596,-1.5934479809577013,0.8172952103015523,-1.9496602462282593,0.0512166275121741,0.886691031134804
TAT,2529.871151109775,-1.717390033219708,0.8866063727830675,-1.9370377722740715,0.0527407262844443,0.886691031134804
SLC12A2,656.639706282872,-1.3452987593828603,0.6963736540316687,-1.931863377648231,0.05337637102530558,0.886691031134804
AP1B1,384.282559943038,-1.679923365660455,0.8757196514286071,-1.9183346667165784,0.055068589412828585,0.886691031134804
CAMSAP2,413.0301540238518,-1.266520197469433,0.661444820345893,-1.9147783133400673,0.055520781306277876,0.886691031134804
