feature,coefficient,fold,model
RAD52,1.6389862859412077,1,LR_C=1
MASP2,-1.0655135959477824,1,LR_C=1
CSDE1,-0.8978332768622547,1,LR_C=1
AP2B1,0.18675704670272597,1,LR_C=1
VPS41,0.06454560107520682,1,LR_C=1
SLC25A13,-0.026877895559625792,1,LR_C=1
CSDE1,-0.8145274138897755,2,LR_C=1
ANLN,0.6992462238423718,2,LR_C=1
M6PR,0.5389942562914185,2,LR_C=1
SLC25A13,-0.5377432065177453,2,LR_C=1
UTP18,-0.5266916429712849,2,LR_C=1
AOC1,0.518712916069309,2,LR_C=1
IL32,0.41124942531709446,2,LR_C=1
CYP51A1,0.31727289329081093,2,LR_C=1
FYN,-0.07996038548808729,2,LR_C=1
AOC1,0.9645365881855886,3,LR_C=1
ANLN,0.6485507400913886,3,LR_C=1
VPS41,0.6068610026966587,3,LR_C=1
IL32,0.5755255220012697,3,LR_C=1
SLC25A13,-0.5724911482670617,3,LR_C=1
FYN,-0.527683739491474,3,LR_C=1
ARF5,-0.49086953218207185,3,LR_C=1
MASP2,-0.3493150815925309,3,LR_C=1
JARID2,-0.33017468464108424,3,LR_C=1
RAD52,0.04280336549755499,3,LR_C=1
