feature,fold,model
CFH,1,LR_C=0.001
CYP51A1,1,LR_C=0.001
RAD52,1,LR_C=0.001
AOC1,1,LR_C=0.001
M6PR,1,LR_C=0.001
ARF5,1,LR_C=0.001
SLC25A13,1,LR_C=0.001
CALCR,1,LR_C=0.001
MYCBP2,1,LR_C=0.001
AP2B1,1,LR_C=0.001
VPS41,1,LR_C=0.001
JARID2,1,LR_C=0.001
AASS,1,LR_C=0.001
IL32,1,LR_C=0.001
CSDE1,1,LR_C=0.001
MASP2,1,LR_C=0.001
MLXIPL,1,LR_C=0.001
FYN,1,LR_C=0.001
UTP18,1,LR_C=0.001
ANLN,1,LR_C=0.001
CFH,2,LR_C=0.001
CYP51A1,2,LR_C=0.001
RAD52,2,LR_C=0.001
AOC1,2,LR_C=0.001
M6PR,2,LR_C=0.001
ARF5,2,LR_C=0.001
SLC25A13,2,LR_C=0.001
CALCR,2,LR_C=0.001
MYCBP2,2,LR_C=0.001
AP2B1,2,LR_C=0.001
VPS41,2,LR_C=0.001
JARID2,2,LR_C=0.001
AASS,2,LR_C=0.001
IL32,2,LR_C=0.001
CSDE1,2,LR_C=0.001
MASP2,2,LR_C=0.001
MLXIPL,2,LR_C=0.001
FYN,2,LR_C=0.001
UTP18,2,LR_C=0.001
ANLN,2,LR_C=0.001
CFH,3,LR_C=0.001
CYP51A1,3,LR_C=0.001
RAD52,3,LR_C=0.001
AOC1,3,LR_C=0.001
M6PR,3,LR_C=0.001
ARF5,3,LR_C=0.001
SLC25A13,3,LR_C=0.001
CALCR,3,LR_C=0.001
MYCBP2,3,LR_C=0.001
AP2B1,3,LR_C=0.001
VPS41,3,LR_C=0.001
JARID2,3,LR_C=0.001
AASS,3,LR_C=0.001
IL32,3,LR_C=0.001
CSDE1,3,LR_C=0.001
MASP2,3,LR_C=0.001
MLXIPL,3,LR_C=0.001
FYN,3,LR_C=0.001
UTP18,3,LR_C=0.001
ANLN,3,LR_C=0.001
CFH,1,LR_C=0.01
CYP51A1,1,LR_C=0.01
RAD52,1,LR_C=0.01
AOC1,1,LR_C=0.01
M6PR,1,LR_C=0.01
ARF5,1,LR_C=0.01
SLC25A13,1,LR_C=0.01
CALCR,1,LR_C=0.01
MYCBP2,1,LR_C=0.01
AP2B1,1,LR_C=0.01
VPS41,1,LR_C=0.01
JARID2,1,LR_C=0.01
AASS,1,LR_C=0.01
IL32,1,LR_C=0.01
CSDE1,1,LR_C=0.01
MASP2,1,LR_C=0.01
MLXIPL,1,LR_C=0.01
FYN,1,LR_C=0.01
UTP18,1,LR_C=0.01
ANLN,1,LR_C=0.01
CFH,2,LR_C=0.01
CYP51A1,2,LR_C=0.01
RAD52,2,LR_C=0.01
AOC1,2,LR_C=0.01
M6PR,2,LR_C=0.01
ARF5,2,LR_C=0.01
SLC25A13,2,LR_C=0.01
CALCR,2,LR_C=0.01
MYCBP2,2,LR_C=0.01
AP2B1,2,LR_C=0.01
VPS41,2,LR_C=0.01
JARID2,2,LR_C=0.01
AASS,2,LR_C=0.01
IL32,2,LR_C=0.01
CSDE1,2,LR_C=0.01
MASP2,2,LR_C=0.01
MLXIPL,2,LR_C=0.01
FYN,2,LR_C=0.01
UTP18,2,LR_C=0.01
ANLN,2,LR_C=0.01
CFH,3,LR_C=0.01
CYP51A1,3,LR_C=0.01
RAD52,3,LR_C=0.01
AOC1,3,LR_C=0.01
M6PR,3,LR_C=0.01
ARF5,3,LR_C=0.01
