experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.117,0.079,0.413,0.103
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.241,0.085,0.59,0.046
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.344,0.102,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.57,0.123,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.232,0.09,0.59,0.046
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.344,0.102,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.57,0.123,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.438,0.031,0.463,0.069
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.447,0.043,0.426,0.069
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.505,0.098,0.519,0.094
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.459,0.039,0.444,0.079
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.505,0.098,0.519,0.094
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
