experiment,model,fold,train_auc,test_auc,best_params,rfs_year,model_type
RFS 1 year - RNA-seq,LR_C=0.001,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,1,0.9375,0.2948717948717948,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,2,0.98,0.4642857142857143,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,3,0.9353846153846154,0.2847222222222222,{},1,lr
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,1,0.9951923076923077,0.23076923076923073,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,2,0.9833333333333334,0.5059523809523809,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,3,0.9430769230769231,0.34027777777777773,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,1,0.921474358974359,0.1794871794871795,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,2,0.8866666666666667,0.625,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,3,0.8307692307692308,0.39583333333333337,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,1,0.6794871794871796,0.5128205128205128,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,2,0.5716666666666668,0.5892857142857143,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,3,0.5476923076923077,0.37499999999999994,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,1,0.9967948717948718,0.21794871794871792,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,2,0.9933333333333334,0.5416666666666667,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,3,0.9507692307692308,0.3402777777777778,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,1,0.921474358974359,0.1794871794871795,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,2,0.8866666666666667,0.625,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,3,0.8307692307692308,0.39583333333333337,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,1,0.6794871794871796,0.5128205128205128,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,2,0.5716666666666668,0.5892857142857143,{},1,rf
