feature,coefficient,fold,model
AC005005.4,-1.009751112524832,1,LR_C=1
DEFB106A,0.7182429340723749,1,LR_C=1
RN7SL525P,-0.40290046258674794,1,LR_C=1
INAFM2,-0.35557001638220803,1,LR_C=1
LIX1L-AS1,-0.3211448403046626,1,LR_C=1
PJVK,-0.269408148058785,1,LR_C=1
AL138889.1,-0.06888407983110184,1,LR_C=1
PCA3,-0.04871427063764137,1,LR_C=1
C2orf92,1.2562731957670468,2,LR_C=1
PCSK6-AS1,0.8585553241608875,2,LR_C=1
AC006538.1,-0.46662255605826186,2,LR_C=1
C17orf113,-0.34342620771444166,2,LR_C=1
AL445235.1,-0.29448254973958554,2,LR_C=1
AC008395.1,-0.23601443474241032,2,LR_C=1
AP005131.1,-0.23031717038997532,2,LR_C=1
AC102953.2,-0.19873148747882816,2,LR_C=1
PRKAR2A-AS1,-0.17541121035134605,2,LR_C=1
LINC02395,-0.15929292264258194,2,LR_C=1
AC016355.1,0.0638408373017664,2,LR_C=1
AC025580.2,-0.027219243395930823,2,LR_C=1
STPG1,1.2910261128908607,3,LR_C=1
NFYA,1.0527132682478886,3,LR_C=1
C1orf112,-0.9214990878007991,3,LR_C=1
CYP51A1,-0.3330680197997456,3,LR_C=1
SEMA3F,0.3188745406837639,3,LR_C=1
FUCA2,0.27766353993498605,3,LR_C=1
AC010999.3,-0.27621947169576583,3,LR_C=1
TNMD,-0.1202954635367074,3,LR_C=1
DPM1,-0.113711316489505,3,LR_C=1
ANKIB1,0.10548245440144313,3,LR_C=1
CFTR,0.0547310595037227,3,LR_C=1
ENPP4,-0.004575737826254295,3,LR_C=1
