feature,padj,fold,model
DEFB106A,7.295420126603929e-16,1,LR_C=0.001
KRTDAP,1.7600407918496227e-05,1,LR_C=0.001
AL138889.1,0.029376247814866537,1,LR_C=0.001
SUN3,0.052474126103953384,1,LR_C=0.001
AC100788.2,0.060183753048711174,1,LR_C=0.001
AC073548.1,0.060183753048711174,1,LR_C=0.001
PJVK,0.06518715825259544,1,LR_C=0.001
CAMK2N2,0.06853992663304975,1,LR_C=0.001
DLX6-AS1,0.15514775516845358,1,LR_C=0.001
AL353796.1,0.1672451779755188,1,LR_C=0.001
AL158835.2,0.19453074296233613,1,LR_C=0.001
CCDC26,0.19453074296233613,1,LR_C=0.001
LIX1L-AS1,0.19453074296233613,1,LR_C=0.001
LINC00514,0.19453074296233613,1,LR_C=0.001
RN7SL525P,0.19453074296233613,1,LR_C=0.001
AC005005.4,0.19453074296233613,1,LR_C=0.001
AC026523.2,0.19453074296233613,1,LR_C=0.001
PCA3,0.19453074296233613,1,LR_C=0.001
ARHGEF26-AS1,0.25946086390570494,1,LR_C=0.001
INAFM2,0.25946086390570494,1,LR_C=0.001
AL449283.1,0.0006220995539017461,2,LR_C=0.001
OR9K1P,0.3189450340015488,2,LR_C=0.001
AC006538.1,0.3189450340015488,2,LR_C=0.001
INAFM2,0.3189450340015488,2,LR_C=0.001
ANKRD44-IT1,0.3189450340015488,2,LR_C=0.001
AC025580.2,0.3189450340015488,2,LR_C=0.001
C2orf92,0.3189450340015488,2,LR_C=0.001
AL031594.1,0.48848470208865374,2,LR_C=0.001
LINC02395,0.48848470208865374,2,LR_C=0.001
C17orf113,0.48848470208865374,2,LR_C=0.001
AC008395.1,0.48848470208865374,2,LR_C=0.001
AC016355.1,0.48848470208865374,2,LR_C=0.001
AL445235.1,0.48848470208865374,2,LR_C=0.001
PCSK6-AS1,0.5927450678757099,2,LR_C=0.001
AC135731.1,0.5927450678757099,2,LR_C=0.001
AP005131.1,0.5927450678757099,2,LR_C=0.001
EGLN2,0.5927450678757099,2,LR_C=0.001
AC102953.2,0.5927450678757099,2,LR_C=0.001
AL122035.2,0.6503490733822863,2,LR_C=0.001
PRKAR2A-AS1,0.6933838234346996,2,LR_C=0.001
AC010999.3,0.9223882615041615,3,LR_C=0.001
AC135731.1,0.9658131512169129,3,LR_C=0.001
CYP51A1,0.9999744098911479,3,LR_C=0.001
ANKIB1,0.9999744098911479,3,LR_C=0.001
CFTR,0.9999744098911479,3,LR_C=0.001
SEMA3F,0.9999744098911479,3,LR_C=0.001
ENPP4,0.9999744098911479,3,LR_C=0.001
LAS1L,0.9999744098911479,3,LR_C=0.001
NIPAL3,0.9999744098911479,3,LR_C=0.001
STPG1,0.9999744098911479,3,LR_C=0.001
TSPAN6,0.9999744098911479,3,LR_C=0.001
FUCA2,0.9999744098911479,3,LR_C=0.001
CFH,0.9999744098911479,3,LR_C=0.001
FGR,0.9999744098911479,3,LR_C=0.001
C1orf112,0.9999744098911479,3,LR_C=0.001
SCYL3,0.9999744098911479,3,LR_C=0.001
DPM1,0.9999744098911479,3,LR_C=0.001
TNMD,0.9999744098911479,3,LR_C=0.001
GCLC,0.9999744098911479,3,LR_C=0.001
NFYA,0.9999744098911479,3,LR_C=0.001
DEFB106A,7.295420126603929e-16,1,LR_C=0.01
KRTDAP,1.7600407918496227e-05,1,LR_C=0.01
AL138889.1,0.029376247814866537,1,LR_C=0.01
SUN3,0.052474126103953384,1,LR_C=0.01
AC100788.2,0.060183753048711174,1,LR_C=0.01
AC073548.1,0.060183753048711174,1,LR_C=0.01
PJVK,0.06518715825259544,1,LR_C=0.01
CAMK2N2,0.06853992663304975,1,LR_C=0.01
DLX6-AS1,0.15514775516845358,1,LR_C=0.01
AL353796.1,0.1672451779755188,1,LR_C=0.01
AL158835.2,0.19453074296233613,1,LR_C=0.01
CCDC26,0.19453074296233613,1,LR_C=0.01
LIX1L-AS1,0.19453074296233613,1,LR_C=0.01
LINC00514,0.19453074296233613,1,LR_C=0.01
RN7SL525P,0.19453074296233613,1,LR_C=0.01
AC005005.4,0.19453074296233613,1,LR_C=0.01
AC026523.2,0.19453074296233613,1,LR_C=0.01
PCA3,0.19453074296233613,1,LR_C=0.01
ARHGEF26-AS1,0.25946086390570494,1,LR_C=0.01
INAFM2,0.25946086390570494,1,LR_C=0.01
AL449283.1,0.0006220995539017461,2,LR_C=0.01
OR9K1P,0.3189450340015488,2,LR_C=0.01
AC006538.1,0.3189450340015488,2,LR_C=0.01
INAFM2,0.3189450340015488,2,LR_C=0.01
ANKRD44-IT1,0.3189450340015488,2,LR_C=0.01
AC025580.2,0.3189450340015488,2,LR_C=0.01
C2orf92,0.3189450340015488,2,LR_C=0.01
AL031594.1,0.48848470208865374,2,LR_C=0.01
LINC02395,0.48848470208865374,2,LR_C=0.01
C17orf113,0.48848470208865374,2,LR_C=0.01
AC008395.1,0.48848470208865374,2,LR_C=0.01
AC016355.1,0.48848470208865374,2,LR_C=0.01
AL445235.1,0.48848470208865374,2,LR_C=0.01
PCSK6-AS1,0.5927450678757099,2,LR_C=0.01
AC135731.1,0.5927450678757099,2,LR_C=0.01
AP005131.1,0.5927450678757099,2,LR_C=0.01
EGLN2,0.5927450678757099,2,LR_C=0.01
AC102953.2,0.5927450678757099,2,LR_C=0.01
AL122035.2,0.6503490733822863,2,LR_C=0.01
PRKAR2A-AS1,0.6933838234346996,2,LR_C=0.01
AC010999.3,0.9223882615041615,3,LR_C=0.01
AC135731.1,0.9658131512169129,3,LR_C=0.01
CYP51A1,0.9999744098911479,3,LR_C=0.01
ANKIB1,0.9999744098911479,3,LR_C=0.01
CFTR,0.9999744098911479,3,LR_C=0.01
SEMA3F,0.9999744098911479,3,LR_C=0.01
ENPP4,0.9999744098911479,3,LR_C=0.01
LAS1L,0.9999744098911479,3,LR_C=0.01
NIPAL3,0.9999744098911479,3,LR_C=0.01
STPG1,0.9999744098911479,3,LR_C=0.01
TSPAN6,0.9999744098911479,3,LR_C=0.01
FUCA2,0.9999744098911479,3,LR_C=0.01
CFH,0.9999744098911479,3,LR_C=0.01
FGR,0.9999744098911479,3,LR_C=0.01
C1orf112,0.9999744098911479,3,LR_C=0.01
SCYL3,0.9999744098911479,3,LR_C=0.01
DPM1,0.9999744098911479,3,LR_C=0.01
TNMD,0.9999744098911479,3,LR_C=0.01
GCLC,0.9999744098911479,3,LR_C=0.01
NFYA,0.9999744098911479,3,LR_C=0.01
DEFB106A,7.295420126603929e-16,1,LR_C=0.1
KRTDAP,1.7600407918496227e-05,1,LR_C=0.1
AL138889.1,0.029376247814866537,1,LR_C=0.1
SUN3,0.052474126103953384,1,LR_C=0.1
AC100788.2,0.060183753048711174,1,LR_C=0.1
AC073548.1,0.060183753048711174,1,LR_C=0.1
PJVK,0.06518715825259544,1,LR_C=0.1
CAMK2N2,0.06853992663304975,1,LR_C=0.1
DLX6-AS1,0.15514775516845358,1,LR_C=0.1
AL353796.1,0.1672451779755188,1,LR_C=0.1
AL158835.2,0.19453074296233613,1,LR_C=0.1
CCDC26,0.19453074296233613,1,LR_C=0.1
LIX1L-AS1,0.19453074296233613,1,LR_C=0.1
LINC00514,0.19453074296233613,1,LR_C=0.1
RN7SL525P,0.19453074296233613,1,LR_C=0.1
AC005005.4,0.19453074296233613,1,LR_C=0.1
AC026523.2,0.19453074296233613,1,LR_C=0.1
PCA3,0.19453074296233613,1,LR_C=0.1
ARHGEF26-AS1,0.25946086390570494,1,LR_C=0.1
INAFM2,0.25946086390570494,1,LR_C=0.1
AL449283.1,0.0006220995539017461,2,LR_C=0.1
OR9K1P,0.3189450340015488,2,LR_C=0.1
AC006538.1,0.3189450340015488,2,LR_C=0.1
