experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.348,0.082,0.462,0.101
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.359,0.113,0.606,0.036
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.4,0.182,0.643,0.017
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.492,0.089,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.367,0.133,0.589,0.032
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.4,0.182,0.643,0.017
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.492,0.089,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.516,0.136,0.5,0.079
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.563,0.162,0.574,0.159
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.59,0.191,0.556,0.091
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.571,0.158,0.574,0.159
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.59,0.191,0.556,0.091
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
