feature,coefficient,fold,model
ALS2,0.4766113084322684,1,LR_C=1
CALCR,0.3207576119927935,1,LR_C=1
SLC25A13,-0.26284949590576084,1,LR_C=1
PON1,-0.18728399728910336,1,LR_C=1
AP2B1,0.17512619356818143,1,LR_C=1
MYCBP2,0.1712800871346417,1,LR_C=1
CYP51A1,-0.1440848475857858,1,LR_C=1
REX1BD,0.14381669406044142,1,LR_C=1
ACSM3,-0.07913870555780032,1,LR_C=1
AOC1,0.03868481116649178,1,LR_C=1
RAD52,-0.03368098116735012,1,LR_C=1
PDK4,-0.0005298733061024259,1,LR_C=1
MYCBP2,0.6401035575914304,2,LR_C=1
SLC25A13,-0.4619174320582279,2,LR_C=1
AP2B1,-0.4260545140684505,2,LR_C=1
CFH,-0.41650875068450705,2,LR_C=1
REX1BD,0.3596079075178617,2,LR_C=1
EGLN2,0.35337589267194336,2,LR_C=1
CALCR,0.3314942334033768,2,LR_C=1
AOC1,-0.3154075892468528,2,LR_C=1
MCUB,-0.28606761246307205,2,LR_C=1
ARF5,0.08002412991620703,2,LR_C=1
RAD52,0.04250401081735852,2,LR_C=1
ACSM3,-0.03342331290321893,2,LR_C=1
SLC25A13,-1.0474845329817106,3,LR_C=1
CFH,-0.5646249425838795,3,LR_C=1
MYCBP2,0.5016678467916929,3,LR_C=1
IGF2,0.34677114320148417,3,LR_C=1
REX1BD,0.29481551038814696,3,LR_C=1
PDK4,-0.1244421718117622,3,LR_C=1
CYP51A1,0.03921890781414266,3,LR_C=1
MCUB,-0.0302181583471166,3,LR_C=1
CALCR,-0.021336438776453463,3,LR_C=1
SLC7A2,-0.014851525074085374,3,LR_C=1
