feature,padj,fold,model
CFH,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
AP2B1,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
REX1BD,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
MYCBP2,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
ABCB4,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
PON1,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
ACSM3,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
MCUB,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
CALCR,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
SLC25A13,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
PDK4,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
ARF5,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
SLC7A2,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
ALS2,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
M6PR,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
AOC1,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
RAD52,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
CYP51A1,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
RALA,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
USH1C,0.9998999974006944,1,RF_max_depth=2_min_samples_leaf=5
CFH,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
AP2B1,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
REX1BD,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
MYCBP2,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
ABCB4,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
PON1,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
ACSM3,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
MCUB,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
CALCR,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
SLC25A13,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
PDK4,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
ARF5,0.9995303483333834,2,RF_max_depth=2_min_samples_leaf=5
