feature,padj,fold,model
FGF8,0.11228730700315528,1,LR_C=0.001
AP2B1,0.9995443869753019,1,LR_C=0.001
REX1BD,0.9995443869753019,1,LR_C=0.001
MYCBP2,0.9995443869753019,1,LR_C=0.001
ABCB4,0.9995443869753019,1,LR_C=0.001
PON1,0.9995443869753019,1,LR_C=0.001
ACSM3,0.9995443869753019,1,LR_C=0.001
MCUB,0.9995443869753019,1,LR_C=0.001
CALCR,0.9995443869753019,1,LR_C=0.001
CFH,0.9995443869753019,1,LR_C=0.001
PDK4,0.9995443869753019,1,LR_C=0.001
ARF5,0.9995443869753019,1,LR_C=0.001
SLC7A2,0.9995443869753019,1,LR_C=0.001
ALS2,0.9995443869753019,1,LR_C=0.001
M6PR,0.9995443869753019,1,LR_C=0.001
AOC1,0.9995443869753019,1,LR_C=0.001
RAD52,0.9995443869753019,1,LR_C=0.001
CYP51A1,0.9995443869753019,1,LR_C=0.001
RALA,0.9995443869753019,1,LR_C=0.001
SLC25A13,0.9995443869753019,1,LR_C=0.001
OLIG2,0.5182085863045297,2,LR_C=0.001
KCNN2,0.5182085863045297,2,LR_C=0.001
LRP12,0.5954324521013477,2,LR_C=0.001
NCAPD2,0.8470482472363444,2,LR_C=0.001
MLXIPL,0.8470482472363444,2,LR_C=0.001
MASP2,0.8470482472363444,2,LR_C=0.001
CSDE1,0.8470482472363444,2,LR_C=0.001
IL32,0.8470482472363444,2,LR_C=0.001
JARID2,0.8470482472363444,2,LR_C=0.001
USH1C,0.8470482472363444,2,LR_C=0.001
CFH,0.8470482472363444,2,LR_C=0.001
SLC25A13,0.8470482472363444,2,LR_C=0.001
ARF5,0.8470482472363444,2,LR_C=0.001
SLC7A2,0.8470482472363444,2,LR_C=0.001
M6PR,0.8470482472363444,2,LR_C=0.001
AOC1,0.8470482472363444,2,LR_C=0.001
RAD52,0.8470482472363444,2,LR_C=0.001
CYP51A1,0.8470482472363444,2,LR_C=0.001
AP2B1,0.8470482472363444,2,LR_C=0.001
RALA,0.8470482472363444,2,LR_C=0.001
PBK,0.007159040720576393,3,LR_C=0.001
AP2B1,0.9998616339428735,3,LR_C=0.001
REX1BD,0.9998616339428735,3,LR_C=0.001
MYCBP2,0.9998616339428735,3,LR_C=0.001
ABCB4,0.9998616339428735,3,LR_C=0.001
PON1,0.9998616339428735,3,LR_C=0.001
ACSM3,0.9998616339428735,3,LR_C=0.001
MCUB,0.9998616339428735,3,LR_C=0.001
CALCR,0.9998616339428735,3,LR_C=0.001
CFH,0.9998616339428735,3,LR_C=0.001
PDK4,0.9998616339428735,3,LR_C=0.001
ARF5,0.9998616339428735,3,LR_C=0.001
SLC7A2,0.9998616339428735,3,LR_C=0.001
ALS2,0.9998616339428735,3,LR_C=0.001
M6PR,0.9998616339428735,3,LR_C=0.001
AOC1,0.9998616339428735,3,LR_C=0.001
RAD52,0.9998616339428735,3,LR_C=0.001
