experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.154,0.036,0.395,0.077
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.255,0.069,0.59,0.046
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.342,0.105,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.169,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.242,0.08,0.571,0.044
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.342,0.105,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.169,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.384,0.062,0.389,0.045
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.488,0.028,0.481,0.069
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.467,0.07,0.481,0.069
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.508,0.038,0.5,0.0
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.467,0.07,0.481,0.069
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
