experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - RNA-seq,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=0.1,0.5,0.0,0.661,0.022
RFS 1 year - RNA-seq,LR_C=1,0.512,0.143,0.536,0.087
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.588,0.058,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.585,0.052,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.503,0.058,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.571,0.054,0.642,0.031
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.585,0.052,0.661,0.022
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.503,0.058,0.661,0.022
RFS 2 year - RNA-seq,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,LR_C=1,0.504,0.065,0.574,0.026
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,0.591,0.026,0.556,0.0
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,0.558,0.057,0.593,0.026
RFS 2 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,0.583,0.037,0.519,0.052
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,0.558,0.057,0.593,0.026
RFS 2 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
