feature,coefficient,model,fold
GLCM_Entrop_LHH_64gl,0.0015438865262827315,LR_C=0.1,1
GLSZM_ZoneLoGl_HLH_4gl,0.14028362663087915,LR_C=0.1,3
GLCM_Entrop_LHH_128gl,0.830441256588223,LR_C=1,1
GLSZM_GlVarianc_LHH_32gl,0.6807961667955542,LR_C=1,1
GLRLM_SRLGLE_HLH_8gl,0.6063843098905315,LR_C=1,1
FD_var_LLH_16gl,0.46214994032705303,LR_C=1,1
GLCM_InfCo1_LLH_16gl,0.3291584531058801,LR_C=1,1
GLCM_sumEnt_HLL_256gl,0.18533973378733148,LR_C=1,1
FD_sd_LHL_8gl,0.168723132444255,LR_C=1,1
GLCM_InfCo1_LLH_16gl,1.0269383268687535,LR_C=1,2
GLCM_sumEnt_HLH_256gl,0.8076931397100524,LR_C=1,2
GLCM_MxProb_LHL_8gl,-0.5772750092857241,LR_C=1,2
FD_lacunarity_HHL_8gl,0.23555768800475174,LR_C=1,2
GLSZM_GlVarianc_LHH_32gl,0.15468982787897595,LR_C=1,2
GLCM_invVar_LHL_8gl,0.14716207794105624,LR_C=1,2
FD_sd_LLH_16gl,-0.12673307462856565,LR_C=1,2
GLRLM_SRLGLE_HLH_8gl,0.10071329048320957,LR_C=1,2
NGTDM_Complex_LHH_8gl,0.012442333336787403,LR_C=1,2
GLCM_sumEnt_HLL_256gl,0.002807315650882129,LR_C=1,2
GLSZM_ZoneLoGl_HLH_4gl,1.6498124422708451,LR_C=1,3
GLCM_InfCo1_LLH_16gl,1.318658292888688,LR_C=1,3
FD_lacunarity_HHL_8gl,0.9274387753947699,LR_C=1,3
GLSZM_GlVarianc_LHH_32gl,0.28034099084144104,LR_C=1,3
GLRLM_SRLGLE_HLH_8gl,0.0012299865648421348,LR_C=1,3
FD_lacunarity_LLH_16gl,0.0009757644407435394,LR_C=1,3
