experiment,model,AUC mean,AUC std,Accuracy mean,Accuracy std
RFS 1 year - Arterial Radiomics,LR_C=0.001,0.5,0.0,0.661,0.022
RFS 1 year - Arterial Radiomics,LR_C=0.01,0.5,0.0,0.661,0.022
RFS 1 year - Arterial Radiomics,LR_C=0.1,0.563,0.12,0.607,0.022
RFS 1 year - Arterial Radiomics,LR_C=1,0.78,0.103,0.748,0.116
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=5,0.819,0.086,0.713,0.054
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=10,0.821,0.068,0.677,0.052
RFS 1 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=15,0.649,0.077,0.661,0.022
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=5,0.819,0.086,0.713,0.054
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=10,0.821,0.068,0.677,0.052
RFS 1 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=15,0.649,0.077,0.661,0.022
RFS 2 year - Arterial Radiomics,LR_C=0.001,0.5,0.0,0.519,0.026
RFS 2 year - Arterial Radiomics,LR_C=0.01,0.5,0.0,0.519,0.026
RFS 2 year - Arterial Radiomics,LR_C=0.1,0.5,0.0,0.519,0.026
RFS 2 year - Arterial Radiomics,LR_C=1,0.752,0.092,0.685,0.094
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=5,0.768,0.057,0.685,0.026
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=10,0.781,0.069,0.667,0.045
RFS 2 year - Arterial Radiomics,RF_max_depth=2_min_samples_leaf=15,0.5,0.0,0.519,0.026
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=5,0.776,0.075,0.685,0.026
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=10,0.781,0.069,0.667,0.045
RFS 2 year - Arterial Radiomics,RF_max_depth=4_min_samples_leaf=15,0.5,0.0,0.519,0.026
