feature,coefficient,model,fold
GLRLM_SRHGLE_LLH_256gl,0.18428725141905003,LR_C=0.1,1
GLRLM_SRHGLE_LLH_32gl,-1.0674751459774268,LR_C=1,1
GLRLM_LRLGLE_LLH_16gl,0.8628195368054304,LR_C=1,1
GLCM_invVar_LHL_8gl,-0.7898896333163273,LR_C=1,1
GLRLM_HGLRE_LLH_64gl,-0.7898882923424454,LR_C=1,1
GLSZM_ZoneHiGl_LLH_256gl,-0.6175757053185684,LR_C=1,1
GLCM_sumEnt_HLH_64gl,0.4441468705842547,LR_C=1,1
GLRLM_SRHGLE_LLH_8gl,0.31857768284449556,LR_C=1,1
GLCM_Entrop_HLL_128gl,0.23536134102603443,LR_C=1,1
GLCM_Entrop_HLH_16gl,-0.19391600163833997,LR_C=1,1
HighDependenceEmphasis3D,-0.15557981228817427,LR_C=1,1
FD_mean_LLL_16gl,0.10878612298394336,LR_C=1,1
GLCM_invVar_LLL_16gl,0.08725952810925253,LR_C=1,1
GLCM_Angsmo_HLL_16gl,0.05979722163017949,LR_C=1,1
GLRLM_LRLGLE_LHL_32gl,0.04028624258309499,LR_C=1,1
GLRLM_SRHGLE_LHL_16gl,-0.013203796460270471,LR_C=1,1
GLSZM_ZoneLoGl_LLL_8gl,-1.0628725134721364,LR_C=1,2
GLCM_AutoCorrel_LHL_8gl,0.803033203465891,LR_C=1,2
GLSZM_ZoneLoGl_HHL_8gl,-0.7593927162599218,LR_C=1,2
GLRLM_SRHGLE_HHH_4gl,0.6191245106471246,LR_C=1,2
GLRLM_LRHGLE_HLH_256gl,-0.5671675666925471,LR_C=1,2
GLRLM_HGLRE_HLH_256gl,0.5366579947542679,LR_C=1,2
GLCM_sumAvg_HLH_16gl,-0.45057374851704085,LR_C=1,2
NGTDM_Complex_HHH_32gl,-0.3901632777304307,LR_C=1,2
GLRLM_SRHGLE_HLH_128gl,-0.3213083636519065,LR_C=1,2
GLSZM_LzoneLogl_HHH_256gl,-0.3070809813898434,LR_C=1,2
GLSZM_SzoneLoGl_HHH_8gl,-0.2904442723519236,LR_C=1,2
FD_max_HHH_8gl,-0.2613716227976243,LR_C=1,2
GLSZM_ZoneHiGl_HLH_64gl,-0.07026526925727018,LR_C=1,2
GLRLM_HGLRE_HLH_32gl,-0.010126968089003974,LR_C=1,2
GLCM_Angsmo_LHH_256gl,-1.139257414143917,LR_C=1,3
FD_sd_LLH_32gl,0.6794831496893076,LR_C=1,3
GLCM_Correl_HLH_4gl,0.6316137304097063,LR_C=1,3
GLCM_MxProb_HHL_256gl,-0.6181023042860021,LR_C=1,3
GLSZM_GlVarianc_HLH_128gl,-0.4521115620801584,LR_C=1,3
FD_min_HLH_16gl,0.39595132791378124,LR_C=1,3
GLCM_Correl_HHL_4gl,-0.33689535631609013,LR_C=1,3
GLSZM_SzVarianc_HLH_256gl,0.31476049568876807,LR_C=1,3
GLCM_Correl_HHL_256gl,0.31206178351698993,LR_C=1,3
GLCM_Correl_HHH_64gl,-0.2947777664727104,LR_C=1,3
GLCM_ClShad_HHH_64gl,0.2830062565794195,LR_C=1,3
GLCM_Correl_HHH_256gl,-0.2679910390242628,LR_C=1,3
GLCM_AutoCorrel_HLH_16gl,0.2486397150098058,LR_C=1,3
GLCM_Correl_HLH_16gl,-0.21217149002384178,LR_C=1,3
GLCM_Correl_HLH_8gl,0.20153347697831792,LR_C=1,3
GLCM_Correl_HHH_128gl,-0.14798729734186258,LR_C=1,3
GLCM_Correl_HLL_8gl,-0.13176254487766176,LR_C=1,3
FD_max_LLH_128gl,-0.09998956133739825,LR_C=1,3
GLRLM_SRHGLE_LHL_32gl,-0.07911522168388098,LR_C=1,3
GLCM_Entrop_LHL_128gl,-0.06971192537261928,LR_C=1,3
GLCM_sumEnt_LHL_256gl,-0.0015557257754728422,LR_C=1,3
