epoch,train_loss,val_loss
1,2.1586730121669913,1.364094583193461
2,1.0595893425152714,0.7602628072102865
3,0.5054038740638503,0.31024646759033203
4,0.19686669693853623,0.08001203139623006
5,0.011434368621137805,-0.06289140383402507
6,-0.1177461886764469,-0.17881950934727986
7,-0.23362152692966892,-0.23296918670336406
8,-0.3086840317661601,-0.3218204855918884
9,-0.37740425014854373,-0.37977970242500303
10,-0.4398524552807772,-0.417791473865509
11,-0.4980823216133548,-0.4718990345795949
12,-0.5230223489435095,-0.5017139097054799
13,-0.5525163145441758,-0.5288698554039002
14,-0.5900338574459678,-0.5559030175209045
15,-0.6115844115278775,-0.5714317202568054
16,-0.6431973809586432,-0.6096725145975749
17,-0.6562533804348537,-0.631016629934311
18,-0.6806761369221193,-0.6419638872146607
19,-0.6911622539050597,-0.6509088377157847
20,-0.7096887065055675,-0.6556753853956858
21,-0.7315420999114675,-0.6805550356705984
22,-0.7468788937518471,-0.677012727657954
23,-0.7451842929187574,-0.6998433291912078
24,-0.7648021274043205,-0.7067365705966949
25,-0.7777823034982035,-0.7195070465405782
26,-0.8002517700643468,-0.7264928619066874
27,-0.784910356863997,-0.7377075632413228
28,-0.8012737439091044,-0.7453048924605051
29,-0.8129961634040775,-0.7408861716588339
30,-0.812759769814355,-0.7540844003359477
31,-0.8097950672744808,-0.7456113278865815
32,-0.8193000994230571,-0.745826655626297
